,pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
1,4,The young boys are playing outdoors and the man is smiling nearby,There is no boy playing outdoors and there is no man smiling,3.6,"CONTRADICTION
"
2,24,A person in a black jacket is doing tricks on a motorbike,A skilled person is riding a bicycle on one wheel,3.4,"NEUTRAL
"
3,105,Four children are doing backbends in the gym,Four girls are doing backbends and playing outdoors,3.8,"NEUTRAL
"
4,116,A player is throwing the ball,Two teams are competing in a football match,2.9,"NEUTRAL
"
5,119,Five children are standing in front of a wooden hut,Five children are standing in a wooden hut,4.2,"NEUTRAL
"
6,185,Few people are eating at red tables in a restaurant without lights,A large group of Asian people is eating at a restaurant,2.6,"NEUTRAL
"
7,197,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle is riding standing up on the seat of the vehicle,3.165,"NEUTRAL
"
8,211,Two dogs are playing by a tree,Two dogs are playing by a plant,4.6,"ENTAILMENT
"
9,218,A girl in white is dancing,A girl is wearing white clothes and is dancing,4.9,"ENTAILMENT
"
10,219,There is no girl in white dancing,A girl in white is dancing,4.2,"CONTRADICTION
"
11,225,The equipment in front of the blond dancing girl is sound,A girl in white is dancing,2.7,"NEUTRAL
"
12,228,A girl in white is dancing,The blond girl is dancing in front of the sound equipment,3.3,"NEUTRAL
"
13,236,The children of a family are playing and waiting,An Asian man is dancing and three kids are looking,1.9,"NEUTRAL
"
14,253,A hiker is on top of the mountain and is doing a joyful dance,A hiker is on top of the mountain and is dancing,4.7,"ENTAILMENT
"
15,280,A boy is standing outside the water,The boy is wading through the blue ocean,3.135,"NEUTRAL
"
16,285,A bald person is playing a guitar,A person has blonde and flyaway hair and is playing a guitar,3.9,"NEUTRAL
"
17,304,"An old, topless woman is covered in paint","A young, topless woman is covered in paint",3.8,"NEUTRAL
"
18,317,A group of children in uniforms is standing at a gate and there is no one kissing the mother,A crowd of people is near the water,1.3,"NEUTRAL
"
19,382,A brown and white dog is running through the tall grass,A brown and white dog is moving through the wild grass,4.4,"NEUTRAL
"
20,384,A white and tan dog is running through the tall and green grass,A white and tan dog is running through a field,4.35,"ENTAILMENT
"
21,394,A man is sitting near a bike and is writing a note,A man is standing near a bike and is writing on a piece paper,3.6,"NEUTRAL
"
22,402,A group of scouts are hiking through the grass,A group of explorers are walking through the grass,4.1,"NEUTRAL
"
23,417,Two men are taking a break from a trip on a snowy road,Two men with cars are on the side of a snowy road,4,"NEUTRAL
"
24,450,A lady is surfing and riding a wave,A blond girl is looking at the waves,3.3,"NEUTRAL
"
25,520,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people,3.3,"NEUTRAL
"
26,526,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",A pedestrian woman is building pink bicycles for boa wearing riders,2.4,"NEUTRAL
"
27,530,A biker is wearing gear which is black,A biker wearing black is breaking the gears,3.1,"NEUTRAL
"
28,592,"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A woman is putting on a cloak, which is very large, and concealing an extravagant dress",3.5,"CONTRADICTION
"
29,619,A boy is climbing up a wall artificially built for climbing and is attached to a rope,"A little boy, who looks fearful, is on a climbing wall.",3.5,"NEUTRAL
"
30,630,A man isn't tossing a kid into the swimming pool that is near the ocean,The man is tossing a kid into the swimming pool that is near the ocean,3.5,"CONTRADICTION
"
31,647,One man is climbing a cliff with a rope,A person with pink climbing gear roped the rock,3.3,"NEUTRAL
"
32,651,"A person is climbing a rock with a rope, which is pink",One man is climbing a cliff with a rope,4.6,"NEUTRAL
"
33,687,One white dog is staring at the black street,Two dogs of different breeds are looking at each other across a street,3.4,"NEUTRAL
"
34,698,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,"A dog next to a tree, which is probably a pine, is biting a bucket",2.785,"NEUTRAL
"
35,717,A few men in a competition are running outside,A few men in a competition are running indoors,3.9,"CONTRADICTION
"
36,718,A few men in a competition are running outside,A few men are running competitions outside,3.9,"NEUTRAL
"
37,765,The kid is happily sliding in the snow,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,4,"NEUTRAL
"
38,780,"A woman, who is old, is near a white dog",A woman and a dog are sitting on a tree stump,3.1,"NEUTRAL
"
39,816,A group of people is equipped with protective gear,A group of people is equipped with gear used for protection,5,"ENTAILMENT
"
40,860,One white dog and one black one are running side by side on the grass,"A dog, which has a black coat, and a white dog are running on the grass",4.2,"ENTAILMENT
"
41,873,Not a lot of people are in an ice skating park,An ice skating rink placed outdoors is full of people,3.5,"NEUTRAL
"
42,882,The girl in the blue and white uniform is cheering,The girl is cheering the man in the blue and white uniform,3.1,"NEUTRAL
"
43,913,A woman is being kissed by a man,There is no woman being kissed by a man,4.2,"CONTRADICTION
"
44,933,The girl in the red shirt is blowing a bubble ,The young girl is blowing a bubble that is huge,3.8,"NEUTRAL
"
45,947,"Some corndogs are being eaten by two toddlers who are in a wagon, which is really small","Two toddlers are eating corndogs in a wagon, which is really small",4.8,"ENTAILMENT
"
46,980,A man is getting on a horse on a track laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,2.1,"NEUTRAL
"
47,987,An adult is in the amphitheater and is talking to a boy,There is no adult in the amphitheater talking to a boy,4.3,"CONTRADICTION
"
48,988,A talk about an adult and a boy is given in the amphitheater,An adult is in the amphitheater and is talking to a boy,3.1,"NEUTRAL
"
49,1039,The snowboarder isn't leaping over white snow,A person who is practicing snowboarding jumps into the air,3.3,"NEUTRAL
"
50,1102,A woman is riding a horse,A man is opening a small package that contains headphones,1,"NEUTRAL
"
51,1137,A fish is hunting for a turtle in the sea,The turtle is following the fish,3.5,"NEUTRAL
"
52,1170,A potato is being sliced by a woman,A woman is slicing a carrot,3,"NEUTRAL
"
53,1177,A woman is combing her hair,A woman is arranging her hair,4.1,"NEUTRAL
"
54,1178,A woman is combing her hair,There is no woman combing her hair,3.6,"CONTRADICTION
"
55,1190,A man and a woman are hiking through a wooded area,A man and a woman are walking together through the woods,4.3,"ENTAILMENT
"
56,1192,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,4.6,"ENTAILMENT
"
57,1232,A man is slicing a bun,A man is slicing a tomato,3.6,"NEUTRAL
"
58,1236,A woman is dancing and singing alone,A woman is dancing and singing with other women,3.285,"CONTRADICTION
"
59,1237,Some women are dancing and singing ,A woman is dancing and singing in the rain,3.8,"NEUTRAL
"
60,1241,A woman is dancing and singing with other women,A woman is dancing and singing in the rain,4.1,"NEUTRAL
"
61,1266,A band is playing on a stage,A band is playing onstage,5,"ENTAILMENT
"
62,1302,A man is playing flute,A man is playing a game with a ball,1.5,"NEUTRAL
"
63,1333,The woman is measuring the other woman,A woman is being measured by another woman,4.9,"ENTAILMENT
"
64,1390,A person is standing near a motorcycle,A person is chopping an onion,1.2,"NEUTRAL
"
65,1396,A man is screaming,A man is scared,3.6,"NEUTRAL
"
66,1400,A sad man is crying,A man is screaming,2.9,"NEUTRAL
"
67,1410,A woman is cutting shrimps,A man is chopping butter into a small container,1.4,"NEUTRAL
"
68,1412,Men are sawing logs,Men are cutting wood,4.5,"ENTAILMENT
"
69,1443,A man is talking on the radio,A man is spitting,1.7,"NEUTRAL
"
70,1469,"Three young men are running, jumping and kicking near a vending machine","There is no man running, jumping and kicking near a vending machine",3.8,"CONTRADICTION
"
71,1470,Three men are jumping off a wall,"Three young men are furiously running, jumping and kicking near a vending machine",2.5,"NEUTRAL
"
72,1487,The man is not stirring the sauce for the chicken,The man is stirring the sauce for the chicken,4,"CONTRADICTION
"
73,1493,A man is playing an electric guitar,A man is playing guitar,4.9,"ENTAILMENT
"
74,1495,A man is playing a guitar,A man is strumming a guitar,4.9,"ENTAILMENT
"
75,1503,Three boys in karate costumes aren't fighting,Three boys in karate costumes are fighting,3.3,"CONTRADICTION
"
76,1506,Three men are practicing karate outdoors,Three boys in karate costumes are fighting,3.8,"NEUTRAL
"
77,1525,A woman is planting some flowers,A woman is cutting broccoli,1.2,"NEUTRAL
"
78,1584,A hole is being burrowed by the badger,A badger is shrewdly digging the earth,4.5,"ENTAILMENT
"
79,1608,A snake is being fed a mouse by a man,No snake is being fed a mouse by a man,4.7,"CONTRADICTION
"
80,1628,Some ingredients are being mixed in a bowl by a person,Some ingredients are being separated in a bowl by a person,4.6,"NEUTRAL
"
81,1676,A boat is sailing peacefully over the water,The guitar is being played by the man,1.1,"NEUTRAL
"
82,1690,The milk is being drunk by a cat,The cat is drinking some milk,5,"ENTAILMENT
"
83,1703,A man is emptying a container made of plastic completely,A man is emptying a container made of plastic,4.7,"ENTAILMENT
"
84,1711,A man is emptying a container made of plastic,A man is carelessly holding a frog,1.1,"NEUTRAL
"
85,1754,A flute is being played in a lovely way by a girl,A flute is being played by a girl,4.6,"ENTAILMENT
"
86,1807,The adult is playing the guitar loudly,A flute is being played by a man,2.4,"NEUTRAL
"
87,1811,A man is playing the guitar loudly,A flute isn't being played by a man,2.4,"NEUTRAL
"
88,1839,"The girl, who is little, is carefully combing her hair into a pony tail","The girl, who is little, is combing her hair into a pony tail.",4.6,"ENTAILMENT
"
89,1847,One man is sitting on the chair,"The girl, who is little, is ruffling her hair",1,"NEUTRAL
"
90,1861,The microphone in front of the talking parrot is being muted,The parrot is talking into the microphone,4,"NEUTRAL
"
91,1877,The kittens on the trays are being eaten as food for an advertisement,The food on the trays is being eaten by the kittens,3.5,"NEUTRAL
"
92,1881,The food on the trays is being eaten by the kittens,A few kittens are eating,4.2,"ENTAILMENT
"
93,1964,One person is playing the guitar and singing,A person is playing a guitar and singing,4.9,"ENTAILMENT
"
94,2001,The horse is being ridden by a man,A man is riding the horse,5,"ENTAILMENT
"
95,2019,A man is dangerously throwing knives at a tree,Some dangerous men with knives are throwing a bike against a tree,3.3,"NEUTRAL
"
96,2058,A lady is cutting up some meat precisely,Some meat is being cut into pieces by a woman,4.8,"ENTAILMENT
"
97,2089,The man is denying an interview,The man is granting an interview,3.2,"CONTRADICTION
"
98,2096,The man is granting an interview,A man's white car is being driven away,1.1,"NEUTRAL
"
99,2130,A small boy is scolding a dog,A small boy is playing with a dog,3.4,"NEUTRAL
"
100,2157,The picture of a camera set up is being taken by a man on the beach at the sunset,A man is taking pictures of a lake,3,"NEUTRAL
"
101,2166,A woman is sewing with a machine,A woman is using a machine made for sewing,4.8,"ENTAILMENT
"
102,2221,Someone is falling off a horse,The man is not knocked off of a horse,3.9,"NEUTRAL
"
103,2229,A woman is tapping her fingers on a table,A woman is resting her fingers on a table,4.1,"NEUTRAL
"
104,2231,A woman is tapping her fingers,A woman is resting her fingers on a table,3.1,"NEUTRAL
"
105,2284,The cat is playing passionately with a watermelon,The cat is playing with a watermelon,4.7,"ENTAILMENT
"
106,2286,The cat is playing passionately with a watermelon,A cat is playing with a watermelon,4.5,"ENTAILMENT
"
107,2362,A person is burning some cameras with a blow torch,The tall person is setting fire to the cameras,3.8,"NEUTRAL
"
108,2364,Some cameras are being burned by a person with a blow torch,The person is setting fire to the cameras,4.2,"ENTAILMENT
"
109,2366,A person by some cameras is blowing on a burning torch,The person is setting fire to the cameras,3.3,"NEUTRAL
"
110,2385,A person is cutting an onion into pieces,A person is slicing a carrot into pieces,3.4,"NEUTRAL
"
111,2392,The man is not slicing the potato,The man is slicing a potato,2.7,"CONTRADICTION
"
112,2402,Someone is cutting a tomato,The woman is holding a whole tomato,3.5,"NEUTRAL
"
113,2404,The lady is slicing a tomato,There is no one cutting a tomato,3,"CONTRADICTION
"
114,2405,The lady is slicing a tomato,Someone is cutting a tomato,4.7,"ENTAILMENT
"
115,2410,A man is preparing some dish,An onion is being sliced with a knife by the woman,1.3,"NEUTRAL
"
116,2430,One man is running down the road,A man is running,4.4,"ENTAILMENT
"
117,2476,Some people are singing,A group of people is singing,4.7,"ENTAILMENT
"
118,2485,The man is playing a guitar,A man is playing a trumpet,2.2,"NEUTRAL
"
119,2525,A few people are floating on a raft,People are riding and paddling a raft,3.8,"NEUTRAL
"
120,2527,People are riding and paddling a raft,Four people are floating on a raft,4.2,"NEUTRAL
"
121,2535,There is no cat eating corn on the cob,A cat is eating some corn,2.5,"NEUTRAL
"
122,2544,The person is slicing a vegetable,Nobody is slicing a tomato,3.1,"NEUTRAL
"
123,2557,Someone is strumming the guitar,Someone is playing the guitar,4.5,"ENTAILMENT
"
124,2566,Three women are dancing,A few women are dancing,4.6,"ENTAILMENT
"
125,2604,A bull dog is being brushed by the monkey,The monkey is brushing a bull dog,4.8,"ENTAILMENT
"
126,2606,The monkey is brushing a bull dog,A bull dog is brushing the monkey,3.9,"NEUTRAL
"
127,2662,The lady isn't cracking an egg for the mixer,The lady is slicing up the meat,2.335,"NEUTRAL
"
128,2668,A few ferrets are climbing out of the cage,Ferrets are climbing down from a shelf,3.1,"NEUTRAL
"
129,2678,A man is hurriedly getting into a car in a garage,A man is getting into a car,4.1,"ENTAILMENT
"
130,2679,A man is parking a car in a garage,A man is getting into a car,3.4,"NEUTRAL
"
131,2687,The person is slicing a clove of garlic into pieces,The person is not slicing a clove of garlic into pieces,3,"CONTRADICTION
"
132,2704,Noodles are being boiled in water by a woman,A woman is boiling noodles in water,5,"ENTAILMENT
"
133,2712,There is no karate practitioner kicking at another man who is wearing protective boxing gloves,A karate practitioner is kicking at another man who is wearing protective boxing gloves,4.3,"CONTRADICTION
"
134,2720,The man is kick boxing with a trainer,There is no karate practitioner kicking at another man who is wearing protective boxing gloves,3,"NEUTRAL
"
135,2721,The man is kick boxing with a trainer,A karate practitioner is kicking at another man who is wearing protective boxing gloves,4,"NEUTRAL
"
136,2722,"A woman, who is seated, is singing a song and playing the guitar",A seated woman is singing a song and playing the guitar,5,"ENTAILMENT
"
137,2726,A woman on a rock is lying on a blanket and reading a book,A woman is rocking over a blanket lying on someone reading a book,2.7,"NEUTRAL
"
138,2738,The woman is not playing an electric guitar,A man is playing an acoustic guitar,3,"NEUTRAL
"
139,2766,A man and woman are talking,A man and a woman are eating happily,2.6,"NEUTRAL
"
140,2772,A person is pouring oil for cooking into a pot,A person is pouring cooking oil into a pot,5,"ENTAILMENT
"
141,2791,"A guinea pig, which is small, is gnawing and eating a piece of carrot on the floor",A small guinea pig is gnawing and eating a piece of carrot on the floor,4.8,"ENTAILMENT
"
142,2795,A small guinea pig is gnawing and eating a piece of carrot on the floor,A guinea pig is devouring a carrot,4.5,"ENTAILMENT
"
143,2812,A plane is landing,An animated airplane is taking off,2.7,"NEUTRAL
"
144,2822,A woman is taking a mixture out of a bowl,A woman is preparing an egg in a skillet,2.7,"NEUTRAL
"
145,2829,The lady is penciling on eyeshadow,The woman is penciling on eyeshadow,5,"ENTAILMENT
"
146,2842,A little girl is playing a grand piano on stage,A girl is practicing the piano,3.8,"NEUTRAL
"
147,2886,A woman is playing a flute,The woman is not playing the flute,3.2,"CONTRADICTION
"
148,2898,The man is lifting barbells,The man is lifting weights,4.3,"ENTAILMENT
"
149,2911,A woman is putting on makeup,There is no woman putting on makeup,4,"CONTRADICTION
"
150,2932,The woman is cutting a carrot,An onion is being sliced by a woman,2.4,"NEUTRAL
"
151,2936,Two men are fighting in a cattle pen,Two men are outside a cattle pen,3,"NEUTRAL
"
152,2965,A big green ball is missing a potato,A big green ball is knocking a potato,3.3,"NEUTRAL
"
153,2967,A large green ball is hitting a potato,A large green colored ball is hitting a potato,4.8,"ENTAILMENT
"
154,2968,A large green ball is missing a potato,A large green ball is hitting a potato,3.5,"NEUTRAL
"
155,2972,A large green ball is hitting a potato,A big green ball is missing a potato,3.4,"CONTRADICTION
"
156,2996,A man is playing a guitar,A man is laying down a guitar,3.3,"NEUTRAL
"
157,3002,A woman is playing an electric guitar,A man is laying down a guitar,2.3,"NEUTRAL
"
158,3036,The puppy is not playing with a plastic container,The puppy is playing with a plastic container,3.2,"CONTRADICTION
"
159,3061,A woman is driving a car and is talking to the man who is seated beside her,There is no woman driving a car and talking to the man seated beside her,4.7,"CONTRADICTION
"
160,3107,A man is flooring a sitting guitar player,A man is sitting on the floor in a room and strumming a guitar,2.3,"NEUTRAL
"
161,3122,A woman is using a pencil for eyes and is applying eye liner to her eyelid,A woman is applying cosmetics to her eyelid,4.6,"ENTAILMENT
"
162,3123,There is no woman using an eye pencil and applying eye liner to her eyelid,A woman is applying cosmetics to her eyelid,3.1,"CONTRADICTION
"
163,3143,A monkey is kicking at a person's glove,The monkey is practicing martial arts,3.6,"NEUTRAL
"
164,3174,A kid is throwing away an instrument,A young boy is playing a wind instrument,2.8,"NEUTRAL
"
165,3181,A man is trekking in the woods,The man is not hiking in the woods,3.8,"NEUTRAL
"
166,3222,There is no boy walking across a bridge,A boy is walking across a bridge,3.7,"CONTRADICTION
"
167,3250,A woman is placing two eggs into a pot of water,A woman is putting two eggs into a pot of water,4.9,"ENTAILMENT
"
168,3258,A man is playing the guitar,Nobody is playing the guitar,3.7,"CONTRADICTION
"
169,3275,A child is running in and out of the waves of the ocean,A child is running in and out of the ocean waves,4.9,"ENTAILMENT
"
170,3291,A woman is putting away carrots,A woman is coating a pork chop,1.7,"NEUTRAL
"
171,3292,A woman is grating carrots,A cook is coating a pork chop,2.1,"NEUTRAL
"
172,3322,The woman is chopping some bread and fried pork,A woman is cooking a breaded pork chop,3.2,"NEUTRAL
"
173,3338,There is no man standing on a roof top and playing a violin,A man is standing on a roof top and playing a violin,3.4,"CONTRADICTION
"
174,3364,A woman is cleaning a shrimp,The woman is cleaning a shrimp,4.9,"ENTAILMENT
"
175,3373,A woman is riding a water scooter,A woman is riding a scooter for water,4.1,"ENTAILMENT
"
176,3384,A panda bear is eating some bamboo,Some bamboo is being eaten by a panda bear,4.8,"ENTAILMENT
"
177,3398,Someone is beating an egg,The woman isn't stirring eggs in a bowl,3.2,"NEUTRAL
"
178,3420,A woman is deboning a fish,A big fish is catching a man,1.9,"NEUTRAL
"
179,3433,A tray is being buttered by a person,A person is buttering a tray,5,"ENTAILMENT
"
180,3459,The man is chopping a tree trunk with an axe,A man is chopping a log with an axe,4.4,"NEUTRAL
"
181,3485,The cat is looking out the window at the table on the perch,The cat perched on the table is looking out the window,4.1,"NEUTRAL
"
182,3501,A dog is licking a baby,The dog is licking the baby,4.8,"ENTAILMENT
"
183,3505,A woman is putting away the garlic,A woman is chopping up garlic,3.6,"NEUTRAL
"
184,3518,The man is not dancing,A woman is dancing,3.3,"NEUTRAL
"
185,3536,Someone is cooking okra in a pan,Okra is being cooked in a pan,4.9,"ENTAILMENT
"
186,3586,A man is playing the drum,A man is practicing the drum,4.6,"ENTAILMENT
"
187,3598,One man is doing floor exercises,A man is doing exercises,4.3,"ENTAILMENT
"
188,3625,A woman is putting meat in a pan,There is no woman putting meat in a pan,3.4,"CONTRADICTION
"
189,3626,Someone is dropping the meat into a pan,The meat is being dropped into a pan,4.7,"ENTAILMENT
"
190,3657,A boy is filling a pitcher with water,A pitcher is being filled with water by a boy,5,"ENTAILMENT
"
191,3661,A woman is collecting the water from a tap in a mug,A boy is filling a pitcher with water,2.7,"NEUTRAL
"
192,3670,It is raining on a walking man,A man is walking in the rain,4.9,"ENTAILMENT
"
193,3680,Racers are running down a track,There are no racers running down a track,3.7,"CONTRADICTION
"
194,3711,A toy train is striking a toy car,A toy train is missing a toy car,3.8,"CONTRADICTION
"
195,3721,The person is slicing onions,Onions are being sliced by the person,4.9,"ENTAILMENT
"
196,3733,Swimmers are racing in a lake,Some racers are swimming in a lake,4.3,"ENTAILMENT
"
197,3747,A talented man is playing the guitar,A woman is playing a guitar,3.2,"NEUTRAL
"
198,3790,A person is scrubbing a zucchini,The person is scrubbing a zucchini,5,"ENTAILMENT
"
199,3812,A woman is slicing a pepper which is green,A woman is slicing a green pepper,4.8,"ENTAILMENT
"
200,3855,A man is stopping in the middle of a road,A man is walking down a road,3.2,"NEUTRAL
"
201,3861,A man from the wilderness is on a walking path,A man is walking down a road,3.4,"NEUTRAL
"
202,3862,The man is walking along a path through the wilderness,A man is lazily walking down a road,3.285,"NEUTRAL
"
203,3880,A man is dancing on the ceiling of a room,The man is dancing upside-down on the ceiling,4.4,"ENTAILMENT
"
204,3897,There is no man exercising,A man is exercising,3.4,"CONTRADICTION
"
205,3909,The man is singing and playing the guitar,The guitar is being played by a man,4.3,"ENTAILMENT
"
206,3910,A man is packing the guitar,The man is singing and playing the guitar,3.4,"NEUTRAL
"
207,3922,Boys are not dancing in front of some people,Boys are dancing in front of some people,3.8,"CONTRADICTION
"
208,3941,A boy is looking at a calendar,There is no boy checking a calendar,3.9,"CONTRADICTION
"
209,3982,A woman is peeling a potato,A woman is refrigerating a potato,3.7,"NEUTRAL
"
210,3996,There is no man singing and playing a guitar,A boy is playing a piano,2.2,"NEUTRAL
"
211,4001,A man is recklessly climbing a rope,A man is climbing a rope,4.3,"ENTAILMENT
"
212,4006,A man is climbing a rope,The man is climbing up a rope,4.8,"ENTAILMENT
"
213,4011,A man is climbing a rope,A man is climbing up a rope,4.8,"ENTAILMENT
"
214,4015,The lady is picking up the kangaroo,The woman is picking up the kangaroo,4.9,"ENTAILMENT
"
215,4031,A man is breaking tiles with his hands,There is no man breaking wooden boards with his hand,2.9,"NEUTRAL
"
216,4054,A dog is running breathlessly on the road,A dog is running on the road,4.5,"ENTAILMENT
"
217,4060,A man is running on the road,A dog is running breathlessly on the road,2.6,"NEUTRAL
"
218,4066,The man is hurling knives at a tree,The man is throwing knives at a tree,4.6,"ENTAILMENT
"
219,4067,The man is removing knives from a tree,The man is throwing knives at a tree,3.3,"NEUTRAL
"
220,4079,One man is riding a horse,A man is riding a horse,4.7,"ENTAILMENT
"
221,4086,There is no man drawing a picture,A man is drawing a picture,3.9,"CONTRADICTION
"
222,4114,There is no man eating food,A man is eating a pizza,3.2,"CONTRADICTION
"
223,4135,A dog is bouncing on a trampoline,A dog is jumping on a trampoline,4.7,"ENTAILMENT
"
224,4140,Several boys are jumping on a trampoline,A man is doing back flips on a trampoline,3.4,"NEUTRAL
"
225,4155,A man is playing a wooden flute,There is no man playing a wooden flute,3.7,"CONTRADICTION
"
226,4157,There is no man playing the piano,A man is playing the piano,4,"CONTRADICTION
"
227,4164,The man is erasing the drawing on the board,The woman is erasing the drawing on the board,3.7,"NEUTRAL
"
228,4187,There is no dog playing with a toy,A dog is eating a doll,3.8,"CONTRADICTION
"
229,4191,A dog is eating a doll,A dog is playing with a toy,3.6,"NEUTRAL
"
230,4196,A man is dancing,A man is praying fervently,1.7,"NEUTRAL
"
231,4288,The woman is slicing cooked octopus,A woman is chopping up an octopus,4.4,"ENTAILMENT
"
232,4321,A man is drawing,There is no man drawing,3.8,"CONTRADICTION
"
233,4330,The man is drawing,There is no man drawing,3.4,"CONTRADICTION
"
234,4342,A man is eating a banana,A man is eating a fruit,4.6,"ENTAILMENT
"
235,4360,A man is cutting a note,A man is cutting a paper,4.4,"ENTAILMENT
"
236,4376,A man is playing a guitar,There is no one playing a piano,2.7,"NEUTRAL
"
237,4411,Two men in a race are flipping the tires of a tractor,Two men are competing in a tire rolling race,3.7,"NEUTRAL
"
238,4429,The men are talking,Some old women are talking,3,"NEUTRAL
"
239,4477,A man is punching a soccer ball,A man is mixing the content of a bowl,1.2,"NEUTRAL
"
240,4505,The doctors are healing a man,The doctor is helping the patient,4.2,"ENTAILMENT
"
241,4520,There is no man playing a guitar,A man is playing a guitar,3.6,"CONTRADICTION
"
242,4614,There is no man driving a car,A man is driving a car,4.4,"CONTRADICTION
"
243,4638,A keyboard is being played by a man,A man is playing a harp,2.4,"NEUTRAL
"
244,4650,A man is cutting a thick rope with a sword,There is no man cutting a rope with a sword,3.6,"CONTRADICTION
"
245,4661,A woman is slicing a potato,A woman is cutting a potato,4.8,"ENTAILMENT
"
246,4707,A group of men is playing soccer on the beach,A group of boys is playing soccer on the beach,4.4,"NEUTRAL
"
247,4734,A man is fitting a silencer to a pistol,A man is applying a silencer to a gun,4.8,"ENTAILMENT
"
248,4755,The girl is sitting on the couch and is crocheting,There is no girl playing the violin on a beach,1.4,"NEUTRAL
"
249,4767,A man is cooking a snake,There is no man cooking a snake,3.7,"CONTRADICTION
"
250,4776,There is no boy playing guitar,A boy is playing guitar,3.8,"CONTRADICTION
"
251,4803,There is no monkey teasing a dog at the zoo,A monkey is teasing a dog at the zoo,2.935,"CONTRADICTION
"
252,4814,A monkey is pulling a dog's tail,A monkey is teasing a dog at the zoo,4.4,"NEUTRAL
"
253,4816,There is no person cutting some ginger,A person is cutting some ginger,3.8,"CONTRADICTION
"
254,4823,A person is cutting some ginger,A person is slicing an onion,3,"NEUTRAL
"
255,4831,A man is slicing a potato into pieces,A man is not cutting a potato,4,"CONTRADICTION
"
256,4843,A man is opening a box with a knife,There is no man opening a box with a knife,3.8,"CONTRADICTION
"
257,4851,Some instruments are being played by a band,A band is playing some instruments,5,"ENTAILMENT
"
258,4852,A band is not playing some instruments,A band is playing some instruments,3.8,"CONTRADICTION
"
259,4866,A person is dancing,A woman is exercising,3,"NEUTRAL
"
260,4891,A man is doing pull-ups,The man is doing exercises in a gym,4,"NEUTRAL
"
261,4916,A man is singing and playing a guitar,A man is singing and playing a musical instrument,4.5,"ENTAILMENT
"
262,4934,Recruits are talking to an officer,An officer is talking to the recruits,3.7,"NEUTRAL
"
263,4963,Garlic is being chopped by a woman,A woman is chopping garlic,4.7,"ENTAILMENT
"
264,4966,A woman is slicing a fish,There is no woman slicing a fish,2.7,"CONTRADICTION
"
265,4983,A woman is riding a horse,A horse is being ridden by a woman,5,"ENTAILMENT
"
266,5003,A big cat is opening a plastic drawer with its paws and is jumping inside,A cat is opening a drawer and jumping inside,4.4,"ENTAILMENT
"
267,5030,The man is talking on the telephone,The man is speaking on the telephone,4.9,"ENTAILMENT
"
268,5047,A man is cutting onions,A woman is cutting an onion,3.5,"NEUTRAL
"
269,5051,A man is opening a door,There is no man opening a door,3.6,"CONTRADICTION
"
270,5052,A door is being opened by a man,A man is cutting an onion,1.2,"NEUTRAL
"
271,5082,A woman is playing the violin,There is no man playing the piano,2.1,"NEUTRAL
"
272,5110,A chef is preparing some food,A chef is preparing a meal,4.8,"ENTAILMENT
"
273,5113,Two sumo ringers are fighting,Two sumo wrestlers are fighting,4,"ENTAILMENT
"
274,5119,Two sumo ringers are fighting,A man is riding a water toy in the water,1,"NEUTRAL
"
275,5148,A man is buttering a piece of bread,A woman is buttering a piece of bread,3.5,"NEUTRAL
"
276,5203,The woman is putting pasta into a dish,Pasta is being put into a dish by a woman,5,"ENTAILMENT
"
277,5206,A woman is pulling some sticky goo out of a bowl,The woman is not putting pasta into a dish,2.2,"NEUTRAL
"
278,5310,There is no girl playing a flute,A girl is playing a flute,3.6,"CONTRADICTION
"
279,5349,A large flute is being played by a man,A man is playing a flute,4.3,"ENTAILMENT
"
280,5352,A man is playing a large flute,There is no man playing a flute,4.1,"CONTRADICTION
"
281,5374,An octopus is being sliced by a woman,A woman is slicing an octopus,5,"ENTAILMENT
"
282,5454,A man is playing a flute,A man is not playing a flute,4.2,"CONTRADICTION
"
283,5461,A woman is playing the flute,A man is playing a flute,3.7,"NEUTRAL
"
284,5498,A woman is cutting a lemon,A woman is cutting fruit,4.2,"ENTAILMENT
"
285,5540,A group of people are dancing in a show,A group of people are marching,2.3,"NEUTRAL
"
