,pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
286,5588,A cupcake is being eaten by a girl,A girl is eating a cupcake,5,"ENTAILMENT
"
287,5657,A person is eating in a restaurant,A person is making a bed,1.2,"NEUTRAL
"
288,5698,The cook is sprinkling cheese on the pizza,The man is sprinkling cheese on the pizza,4,"NEUTRAL
"
289,5706,A man is reloading a shotgun,A man is firing a shotgun,3.7,"NEUTRAL
"
290,5745,A tiger cub is playing with a ball,A baby is playing with a doll,1.4,"NEUTRAL
"
291,5747,A baby is playing with a toy,A baby tiger is playing with a ball,3.2,"NEUTRAL
"
292,5799,A person is peeling a potato,A potato is being peeled by a person,5,"ENTAILMENT
"
293,5806,A man is rowing a canoe,A man is rowing a boat,4.2,"ENTAILMENT
"
294,5904,A man and a woman are driving down the street in a jeep,A man and a woman are driving down the road in an open-air vehicle,4,"NEUTRAL
"
295,5909,A woman is pouring ingredients into a bowl,The chef is seasoning the oil,3.1,"NEUTRAL
"
296,5914,A horse is being ridden by a person,A person is riding a horse,5,"ENTAILMENT
"
297,5920,A horse is being ridden by a person,A woman is slicing potatoes,1,"NEUTRAL
"
298,5924,The man is not doing exercises,The man is doing exercises,3.8,"CONTRADICTION
"
299,5930,The man is not doing exercises,Two men are fighting,2.3,"NEUTRAL
"
300,5938,Vegetables are being put into a pot by a man,Someone is pouring ingredients into a pot,4,"ENTAILMENT
"
301,5955,A dog is leaving a ball in the dirt,A dog is chasing a ball through dirt,3.7,"NEUTRAL
"
302,6001,There is no brown dog standing in the water,A dog with golden fur is in the water,2.8,"NEUTRAL
"
303,6005,A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign,A young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk,3.4,"NEUTRAL
"
304,6042,The small child is walking through the water and is being guided by another person,A young child is splashing in the water,3.4,"NEUTRAL
"
305,6047,"A man and a woman are in a room painted beige, wearing dark colored shirts and a monitor is in the background","A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background",5,"ENTAILMENT
"
306,6078,A person wearing jeans is sitting happily on the top of a horse saddle,A woman in jeans is sitting on the saddle of a horse,4.2,"NEUTRAL
"
307,6119,A brown and white dog is holding a baseball in its mouth,A black and white dog is dropping a baseball from its mouth,3.3,"NEUTRAL
"
308,6131,A young boy wearing a red swimsuit is jumping into a blue kiddies pool,A boy wearing red shorts is jumping into a paddling pool,4,"NEUTRAL
"
309,6146,Two people are standing in the ocean and watching the sunset,Nobody is standing in the ocean and watching the sunset,2.5,"CONTRADICTION
"
310,6153,A race car driver is standing up and pointing his hand at the sky,A race car driver is sitting down and is motionless,3,"NEUTRAL
"
311,6158,A race car driver is standing up and is fiercely pointing his hand at the sky,The person in the blue jacket is wearing a colorful helmet,1.6,"NEUTRAL
"
312,6203,A bicyclist is holding a bike over his head in a group of people,A cyclist is being held over the heads of a group of people with the bike,3.4,"NEUTRAL
"
313,6213,"A man is sitting on a boat in font of the sunset, near a flag",A man is standing on a boat in front of the sunset near a flag,3.8,"NEUTRAL
"
314,6219,A man is standing on a boat in front of the sunset near a flag,A man is on a boat in front of the sunset,4.1,"ENTAILMENT
"
315,6228,People at a drag race are running away from the flames that are coming out of the cars,The crowd is watching two racing cars that are leaving the starting line,2.6,"NEUTRAL
"
316,6231,Two dogs are playing together on the grass,Two dogs are resting together in the grass,3.3,"NEUTRAL
"
317,6280,"A dog, which is black, is running in the grass",A black dog is running in the grass,5,"ENTAILMENT
"
318,6287,A black dog is running in the grass and its tongue is hanging out,A black dog is running in the grass,4.9,"ENTAILMENT
"
319,6315,A yellow dog is running on white snow on a very sunny day,A yellow dog is running on white snow on a sunny day,4.6,"ENTAILMENT
"
320,6330,A girl is wearing jeans and a pink shirt and is running,A little boy in a pink shirt is running under a tree in the desert,2.8,"NEUTRAL
"
321,6344,A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass,The white reindeer wearing dog ears is near a brown reindeer,2.2,"NEUTRAL
"
322,6358,The woman in a red costume is leaning against a brick wall and playing an instrument,The woman in a red costume is not leaning against a brick wall and is not playing an instrument,3.2,"CONTRADICTION
"
323,6394,A waterfall is flowing into a shallow pool,The people are walking on the road beside a beautiful waterfall,2.3,"NEUTRAL
"
324,6396,A dog is scattering a pack of white sheep on a dusty farm,A dog is herding a pack of white sheep on a dusty farm,3.8,"NEUTRAL
"
325,6450,A little boy is wearing a yellow tank top and is laughing,A laughing boy is in a yellow tank and is wearing a top,3.5,"NEUTRAL
"
326,6482,The person is not standing on white ice,A person is standing in a vast field of glacial ice,3.1,"NEUTRAL
"
327,6544,The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal,There is no hockey player in a yellow jersey guarding the goal,4,"CONTRADICTION
"
328,6568,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,A woman is parking a blue bicycle and is wearing lots of riding helmets,3.1,"NEUTRAL
"
329,6590,A young girl is standing on one leg,A young female is dancing,3.3,"NEUTRAL
"
330,6592,A young girl is standing on one leg,A young girl is dancing,2.7,"NEUTRAL
"
331,6598,A bee is clinging to a yellow flower,There is no small bee landing on a bunch of yellow flowers,3.9,"NEUTRAL
"
332,6625,There is no white dog with beige spots running through a field,A tan dog is running through the brush,2.7,"NEUTRAL
"
333,6634,A hurdle is being leapt by a horse that has a rider on its back,A horse and its rider are leaping over a barrier,4.5,"ENTAILMENT
"
334,6649,Two teenage girls are wearing fancy dresses at an event,Two girls in their teens are wearing fancy dresses at an event,4.8,"ENTAILMENT
"
335,6673,A classroom full of students is looking attentively in the same direction inside a bamboo structure,A group of students in uniforms is listening attentively at the front of the class,2.8,"NEUTRAL
"
336,6705,"A child, who is small, is outdoors climbing steps outdoors in an area full of grass",A small child is outdoors climbing steps in a grassy area,4.9,"ENTAILMENT
"
337,6709,A little child in a pink sweater is climbing a concrete staircase,A small child is outdoors climbing steps in a grassy area,3.5,"NEUTRAL
"
338,6729,A kid in orange is playing outside with a snowball,A snow ball is being made by a child,3.3,"NEUTRAL
"
339,6740,The people are not sitting on a bench in front of a restaurant,Three people are sitting on a bench under some palm trees,3.2,"NEUTRAL
"
340,6756,A large brown dog and a small grey dog are standing on a rocky surface,A big brown dog and a small grey dog are standing on a rocky surface,4.8,"ENTAILMENT
"
341,6764,Three boys are resting on rocks along a river,Three boys are walking on rocks along a river,3.8,"NEUTRAL
"
342,6784,There is no man dressed in black wearing an elaborate black mask,A man dressed in black is wearing an elaborate black mask,3.4,"CONTRADICTION
"
343,6849,"Two children, who are small, are playing with a toy car in the street",A father is pushing his daughter on a go-kart and another girl is watching,2.2,"NEUTRAL
"
344,6866,A golden dog is running through a field of tall grass,There is no brown dog running through tall green grass,4,"NEUTRAL
"
345,6912,The woman wearing the blue and white uniform with a white and blue hat is keeping her mouth open and is near others who are dressed in the same fashion,A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,3.4,"NEUTRAL
"
346,6932,The snowboarder is doing a flip over a mound of snow,Somebody is jumping in the air on a board,3.8,"ENTAILMENT
"
347,6955,A blonde boy in green is sitting on a swing,There is no little girl with blond hair smiling and sitting on a swing,3.185,"NEUTRAL
"
348,6961,A white man is staging a hat and a playing guitar,A man in a white hat is playing guitar on stage,3,"NEUTRAL
"
349,6971,There is no man in a red uniform making a jump in a dirt bike race,A man in a red uniform is making a jump in a dirt bike race,3.4,"CONTRADICTION
"
350,7002,Rugby players are not tackling each other,A soccer player is being tackled by his opponent,2.5,"NEUTRAL
"
351,7007,A white dog is standing on fallen leaves,A white dog is lying on fallen leaves,3.8,"NEUTRAL
"
352,7018,A child in clothing which is light colored is standing with his arms extended outward,A child in light colored clothing is standing with his arms extended outward,5,"ENTAILMENT
"
353,7027,The boy and girl are not playing on a playground,The boy and girl are playing on the outdoor gym,3,"NEUTRAL
"
354,7043,The motocross rider is standing naked,"A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching",2.6,"NEUTRAL
"
355,7044,The rider on the blue and black motocross bike is not wearing the pants,"A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching",3.2,"NEUTRAL
"
356,7064,A trick is being performed by a rollerblader on a ramp,A rollerblader is performing a trick on a ramp,5,"ENTAILMENT
"
357,7088,A group of football players is standing still in the field,The crowd is watching a football game,2.6,"NEUTRAL
"
358,7093,The group of people is standing together and looking at the camera,A group of people is standing together and looking at the camera,5,"ENTAILMENT
"
359,7214,A brown dog is running across the yard with a toy in its mouth,There is no brown dog running across the yard with a toy in its mouth,3.8,"CONTRADICTION
"
360,7228,There is no young boy jumping in the air with his knees bent and arms spread,A person with a green shirt is jumping high over the grass,2.6,"NEUTRAL
"
361,7311,A cigarette is being smoked by the man in the straw hat,A man is wearing a straw hat and smoking a cigarette,4.8,"ENTAILMENT
"
362,7319,A man is wearing a blue shirt which has long sleeves and jeans and is riding a unicycle down a street,A man is wearing a blue checkered shirt and riding a unicycle in the street,4.3,"NEUTRAL
"
363,7356,Small children are climbing a statue in a park,Two children are playing on a statue,4.1,"NEUTRAL
"
364,7363,A tower is being looked at by a blonde lady,A woman is looking at the view of a city,3.3,"NEUTRAL
"
365,7374,A man is standing on the top of the rocks with clouds behind them,Somebody is standing on a mountain top,3.1,"NEUTRAL
"
366,7394,A child is smiling at the camera and swimming underwater,A child is swimming underwater in a pool,4.1,"NEUTRAL
"
367,7410,An American footballer is wearing the red and white strip,A football player is wearing black armbands,2.4,"NEUTRAL
"
368,7445,The little girl is swinging and the woman is standing behind her,"The girl, who is little, is swinging and the woman is standing behind",4.9,"ENTAILMENT
"
369,7448,A small child is showing excitement on a swing set at the park,"The girl, who is little, is swinging and the woman is standing behind",3.6,"NEUTRAL
"
370,7464,A surfer is riding the wave,A man is falling off a surfboard in the water,3.5,"NEUTRAL
"
371,7466,The group of people is sitting in a dim room,The group of people is sitting in a room which is dim,4.9,"ENTAILMENT
"
372,7471,A man and two women in a dark room are sitting at a table with candles,The group of people is sitting in a dim room,3.6,"ENTAILMENT
"
373,7475,A man and two women in a darkened room are sitting at a table with candles,The group of dim people is sitting in a room,2.5,"NEUTRAL
"
374,7477,A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four bottles of beer,A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles,4.9,"ENTAILMENT
"
375,7501,The woman is not wearing a red jacket and is not holding a glass in front of the man in a white t-shirt,A person is wearing a red jacket and holding a beer,2.4,"NEUTRAL
"
376,7533,A child is watching someone playing outdoors and is spouting water over the rest of his family ,A boy is holding a hose next to a man and another boy is watching,3,"NEUTRAL
"
377,7541,There is no football player in a purple jersey running with the ball for a touchdown,A football player is running past an official carrying a football,3.3,"NEUTRAL
"
378,7544,A football player is carrying an official past a rolling football,A football player in a purple jersey is running with the ball for a touchdown,2.9,"NEUTRAL
"
379,7546,A young girl in a blue leotard is jumping in the air,A young girl in a leotard colored in blue is jumping in the air,5,"ENTAILMENT
"
380,7548,The young girl in blue is jumping in the air,A young girl in blue is jumping in the air,5,"ENTAILMENT
"
381,7582,The bunch of men are playing rugby on a field full of mud,Some men are playing rugby,4.5,"ENTAILMENT
"
382,7590,A person is looking at a bike designed for motocross that is lying on its side and another is racing by,The bike rider is looking at an accident of another bike rider,3.1,"NEUTRAL
"
383,7649,There is no little boy wearing a green soccer strip and running on the grass,A little boy is wearing a green soccer strip and is running on the grass,3.6,"CONTRADICTION
"
384,7667,The man at the beach is not doing a handstand on the wet sand at the edge of the water,The man is doing a handstand on the wet sand at the edge of the water at the beach,3.7,"CONTRADICTION
"
385,7677,A young mother is playing with her boy in the park,A young boy is playing in the park with his mother,4.5,"ENTAILMENT
"
386,7718,A man is spraying a super soaker into the mouth of a dog,There is no man spraying a super soaker into the mouth of a dog,3.8,"CONTRADICTION
"
387,7720,There is no man spraying a super soaker into the mouth of a dog,A man is squirting water into the mouth of a white dog with a squirt gun,2.9,"NEUTRAL
"
388,7726,A boy under an umbrella is being held by his father who is wearing a blue coat,"A boy, who is wearing a blue coat, is being held by his father under an umbrella ",4.3,"NEUTRAL
"
389,7734,A boy under an umbrella is being held by his father who is wearing a blue coat,A child is experiencing a new world,1.5,"NEUTRAL
"
390,7743,A dog is playing alone on a beach covered by snow,A dog is walking along a snowdrift,3.2,"NEUTRAL
"
391,7772,A surfer is riding a big wave across dark green water,The surfer is riding a small wave,3.9,"CONTRADICTION
"
392,7795,A tennis player is lunging to the left,A tennis player is jumping to the left,4.4,"ENTAILMENT
"
393,7820,Two dogs are looking at something that is splashing in the water,Some dogs are not playing in a stream,3.7,"NEUTRAL
"
394,7877,A man in a blue cowboy hat is riding a white horse,A man in blue is riding a horse on a dirt road,3.9,"NEUTRAL
"
395,7889,Two white dogs are playing with a brown dog and a tennis ball,Two white dogs are playing with a brown dog and a ball,4.7,"ENTAILMENT
"
396,7932,A person in a pink jacket is running onto the field,Four athletes are with a woman in a crowded stadium,2,"NEUTRAL
"
397,7937,A woman dressed in elegant clothing is inside a crowd of people and is looking up,A woman dressed in elegant clothing is inside a crowd of people and is looking down,3.1,"NEUTRAL
"
398,7938,An Asian woman is holding a fur scarf,An elegant woman is inside a crowd of people and is looking down,2.2,"NEUTRAL
"
399,7947,A kid in a white t-shirt is splashing in shallow water,A boy is running through the water at the beach,3.4,"NEUTRAL
"
400,7950,A girl is running through the water at the beach,A boy in a white t-shirt is splashing in shallow water,2.3,"NEUTRAL
"
401,7951,A boy in a white t-shirt is splashing in shallow water,A boy is running through the water at the beach,3.5,"NEUTRAL
"
402,7997,The kids are not wearing suits and water is splashing around,Children in swimming suits are playing in the water,2.8,"NEUTRAL
"
403,8057,"A young girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on her head","A little girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on the head",4.8,"ENTAILMENT
"
404,8122,A female cheerleader is sitting on the knee of a male cheerleader,Some cheerleaders are relaxing,3,"NEUTRAL
"
405,8138,"The girl has red hair and eyebrows, several piercings in a ear and a drawing on the back","The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back",4.4,"ENTAILMENT
"
406,8141,"The girl has red hair and eyebrows, several piercings in a ear and no tattoo on the back",A girl with red hair and red eyebrows is in midspeech,3,"NEUTRAL
"
407,8163,Two people are driving a jeep and a lady is sitting on the top of it,Two people are driving a jeep and a girl is sitting on the top of it,4.8,"ENTAILMENT
"
408,8193,The adults and children are not gathered near an outdoor seating arrangement,The adults and children are being gathered near an outdoor seating arrangement,4.4,"CONTRADICTION
"
409,8212,A girl has colored patches on the cheeks,A girl is standing in a group and is wearing a black shirt and pink beads,2.4,"NEUTRAL
"
410,8220,Two dogs are running through water,Two dogs are running through high grass,3.335,"NEUTRAL
"
411,8263,Some people and vehicles are on a crowded street,Some people and vehicles are on a almost empty street,4.2,"CONTRADICTION
"
412,8313,A young girl with painted face is standing next to some other children,Children are being dressed in costumes and playing a game,3.1,"NEUTRAL
"
413,8326,There is no bmx biker jumping dirt ramps in front of a body of water,Two bmx bikers are jumping dirt ramps in front of a body of water,4.4,"CONTRADICTION
"
414,8334,A man is doing a trick on a skateboard,A person is doing a trick on a skateboard,4.4,"ENTAILMENT
"
415,8343,A man in a motocross uniform is wearing a helmet and rides a red motorcycle,A person in a motocross uniform is wearing a helmet and rides a red motorcycle,4.8,"ENTAILMENT
"
416,8362,A boy in a striped shirt is jumping behind a water fountain,A boy in a striped shirt is jumping in front of a water fountain,4.2,"NEUTRAL
"
417,8375,"Two large dogs, a light colored one and a dark one, are sleeping on a snowy terrain",Two dogs are leaping through snowy grass and rocks,2.4,"NEUTRAL
"
418,8383,A girl in blue is sliding down a green slide,The young girl in blue is enjoying a slide,4.3,"ENTAILMENT
"
419,8389,A white man is walking next to a building in a big city,A black man is walking next to a building in a big city,3.3,"NEUTRAL
"
420,8461,A man with no hat is sitting on the ground,A man with a backwards hat is sitting on the ground,4,"NEUTRAL
"
421,8471,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of an old man with grey hair,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair,4.6,"ENTAILMENT
"
422,8500,The man is going into the water,The person is going into the sea,4.1,"NEUTRAL
"
423,8505,Two people are sitting on a park bench on a sunny day,Two people are sitting on a park bench on a hot day,4.3,"NEUTRAL
"
424,8548,The child is splashing water in a big red pool,A toddler is making a splash inside a blue paddling pool,3.1,"NEUTRAL
"
425,8558,A grey silky dog is lying in the grass and a brown dog is looking on,The brown dog is spotting a black dog lying in the dry grass,3.2,"NEUTRAL
"
426,8576,A black dog and a small white and black dog are looking up at a kitchen countertop,A large dog and a small dog are standing next to the kitchen counter and are investigating,4.2,"ENTAILMENT
"
427,8632,A man is not rock climbing and a city and a bay are in the background,A man is rock climbing and a city and a bay are in the background,4.4,"CONTRADICTION
"
428,8633,"A man is rock climbing, pausing and calculating the route","A man is rock climbing, stopping and calculating the route",4.8,"ENTAILMENT
"
429,8658,No group of people is gathering at a stand at the fair,The people are standing at a carnival,3.8,"NEUTRAL
"
430,8660,A group of rollerbladers is lining up on the street,A group of rollerbladers is lining up on the road,4.9,"ENTAILMENT
"
431,8678,A skateboarder is jumping off a ramp,A skateboarder is making a jump off a ramp,4.8,"ENTAILMENT
"
432,8700,A black and orange bird is standing in the grass,The black bird with a yellow beak is standing in the green grass,4,"NEUTRAL
"
433,8714,Two white dogs are quickly running together,Two white dogs are running together,4.6,"ENTAILMENT
"
434,8727,A group of people are standing around a sound mixing table,Some people is looking at sound equipment,3.5,"ENTAILMENT
"
435,8786,A girl is skipping rope on a sidewalk,A girl is skipping rope on near a street,4.3,"ENTAILMENT
"
436,8792,A girl is jumping rope on a sidewalk near a parking garage,A girl is skipping rope on near a street,3.7,"NEUTRAL
"
437,8806,A dog is swimming in a body of water,An animal is swimming in a body of water,4.5,"ENTAILMENT
"
438,8832,A woman is leaning on the ledge of a balcony,A man is leaning on the ledge of a balcony,3.8,"NEUTRAL
"
439,8841,A small white dog is running across a lawn,A big white dog is running across a lawn,3.1,"NEUTRAL
"
440,8855,The dog is on a leash and is walking near the water,A black dog on a leash is walking in the water,4.5,"NEUTRAL
"
441,8938,One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,Two males are standing on a cliff edge and one is jumping into the water,4,"NEUTRAL
"
442,8963,A small group of people are standing and two are sitting on the sofa,A group of five young adults are lounging indoors,3.8,"NEUTRAL
"
443,8986,A young girl in a bikini is jumping on the beach,A young girl in swimming suite is jumping on the beach,4.4,"ENTAILMENT
"
444,9014,A blond child is going down a slide and throwing up his arms,A child with dark hair is going down a slide and throwing up his arms,3.7,"CONTRADICTION
"
445,9029,Two dogs are playing in a forest,A brown dog is running after a black dog on a rocky shore,2.3,"NEUTRAL
"
446,9036,A white dog is approaching a golden dog on pebbly beach,Two dogs are playing on a rocky beach,2.9,"NEUTRAL
"
447,9056,Two young girls are wearing hats and sticking their colored tongues out,Two kids are sticking out blue and green colored tongues,3.6,"NEUTRAL
"
448,9069,Two boys are laying in the ocean close to the beach,Two boys are laying in the water close to the beach,4.4,"ENTAILMENT
"
449,9093,A large man is sitting in a military accessories store,A veteran is showing different things from a war to some people,2.8,"NEUTRAL
"
450,9102,A dog with a blue collar is playing with the ball outside,A grey dog is bouncing a soccer ball on its head in a grass field,3.4,"NEUTRAL
"
451,9125,A young woman with Indian clothing and henna on her hand is going through paperwork,A woman is wearing a colorful shirt and a lot of jewelry,2.4,"NEUTRAL
"
452,9132,A man in a jersey which is black is standing in a gym,A man in a black jersey is standing in a gym,4.9,"ENTAILMENT
"
453,9136,A man in a black jersey is standing in a gym,A man is standing in a gym and is wearing a jersey,4.5,"ENTAILMENT
"
454,9169,A little brown and white dog is running on the sidewalk,A little brown and white dog is running on the road,3.7,"NEUTRAL
"
455,9188,A dog is turning on the grass and pursuing a flying tennis ball,A yellow dog is chasing a ball,4.4,"NEUTRAL
"
456,9198,A woman in blue jeans is standing in front of a group of children beside a stone built house,No lady is standing on the street and is surrounded by school children,3.2,"NEUTRAL
"
457,9200,A lady is standing on the street and is surrounded by school children,A man in blue jeans is standing in front of a group of children beside a stone built house,2,"NEUTRAL
"
458,9211,A guy is leaping into the air in wood,A guy is leaping into the air in a wooded area,4.3,"NEUTRAL
"
459,9224,A dog is running with a ball,The black dog is carrying a blue and white ball in its mouth,4,"NEUTRAL
"
460,9242,The man in blue is posing for a picture next to a vehicle,A man is standing at the wheel of a classic American car that has its door and trunk open,3.2,"NEUTRAL
"
461,9287,A man is skiing down a hill and jumping a red obstacle,A man is snowboarding down a railing in the snow,3.1,"NEUTRAL
"
462,9303,The skateboarder is jumping in the air,A skateboarder is jumping in the air,4.9,"ENTAILMENT
"
463,9314,A snowboarder is grinding down a long concrete rail,A person is doing acrobatics on a snowboard,3.3,"NEUTRAL
"
464,9336,A group of people is walking down the street and a person in a green hat is on the phone,Four people are walking along a city sidewalk and the one in the green hat is phoning someone,4.2,"NEUTRAL
"
465,9359,A surfer is surfing a big wave,A surfer is surfing a huge wave,4.9,"ENTAILMENT
"
466,9371,A person with a red hooded jacket and a black backpack is walking near a rocky wall,A man in a red jacket and khaki pants is walking through an European state,3,"NEUTRAL
"
467,9380,The players is maneuvering for the soccer ball,A man in green is kicking a soccer ball and a man in purple and white is rising up,3.5,"NEUTRAL
"
468,9401,The man dressed in leather chaps and a purple shirt is standing in front of someone lookers,A man is wearing a purple shirt and black leather chaps and is posing for the camera,3.3,"NEUTRAL
"
469,9424,A dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background,A dog is in the sand that is blowing in the air,4.1,"NEUTRAL
"
470,9425,No dog is in the sand that is blowing in the wind,A dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background,4,"CONTRADICTION
"
471,9433,The black and white dog is running in a green yard,A black and white dog is running outdoors,4.4,"ENTAILMENT
"
472,9452,A dog is jumping into the air in the country,A dog is jumping in the shade of some trees,3.7,"NEUTRAL
"
473,9453,A dog is jumping in the shade of some trees,A cat is jumping high into the air in the country,1.6,"NEUTRAL
"
474,9490,A cluster of four brown dogs are playing in a field of brown grass,Four dogs are not playing in a grassy area,4,"CONTRADICTION
"
475,9500,A big brown and white spotted dog is lying on a jacket on the street,The dog is having a nap in the park,2.9,"NEUTRAL
"
476,9545,A man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,The rider dressed in orange is driving a motorcycle on one wheel,2.8,"NEUTRAL
"
477,9571,An elder man is sitting on a bench and is wearing a gray jacket and black pants,An elderly man is sitting on a bench,4.5,"ENTAILMENT
"
478,9584,The woman is holding the paintbrush next to the artist's easel ,The lady is holding the paintbrush next to the artist's easel ,4.9,"ENTAILMENT
"
479,9623,A man is wearing a blue shirt and walking barefoot on a tennis court,A woman is wearing a blue shirt and walking barefoot on a tennis court,3.6,"NEUTRAL
"
480,9669,The young girl is playing on the edge of a fountain and an older woman is watching her,A young girl is playing on the edge of a fountain and an older woman is watching her,4.8,"ENTAILMENT
"
481,9677,A young girl is playing on the edge of a fountain and an older woman is watching her,A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,3.5,"NEUTRAL
"
482,9706,A black and white dog with a large branch is standing in the field,A black and white dog with a large branch is running in the field,4.2,"CONTRADICTION
"
483,9713,A black and white dog is carrying a huge stick on the green grass,A black and white dog with a large branch is running in the field,4.5,"ENTAILMENT
"
484,9722,A boy is running through the sand,A boy wearing a striped shirt is running barefoot on the sandy hill,3.9,"NEUTRAL
"
485,9745,Two young boys are looking up at the camera and one is sticking out his tongue,The little boy is sticking his tongue out for the camera and another boy is looking on,4.4,"NEUTRAL
"
486,9747,A little boy is sticking his tongue out for the camera and another boy is looking on,Two kids are looking up at the camera and one is sticking out his tongue,4.4,"ENTAILMENT
"
487,9759,A laughing child is holding a water gun and getting sprayed with water,A person in a blue jacket is jumping onto a tall cement wall,1.1,"NEUTRAL
"
488,9763,A person is slicing some mushrooms,The elephant is being ridden by the woman,1,"NEUTRAL
"
489,9771,Two small children are playing with a toy car in the street,A dog is running through a field and is chasing a toy,1.4,"NEUTRAL
"
490,9788,A man is playing an electric guitar,A group of people is holding drinks and pointing at the camera,1,"NEUTRAL
"
491,9789,A girl in gold and purple is holding a rainbow afghan,A man is squatting in brush and taking a photo,1,"NEUTRAL
"
492,9822,Two people are riding a bike,A practicing jumper is tossing a person's snowboard into the air,2,"NEUTRAL
"
493,9838,Some instruments are being played by a band,"A young, topless woman is covered in paint",1,"NEUTRAL
"
494,9843,A family is buying something at the vending machine,A man in a suit is standing at a microphone and singing,1,"NEUTRAL
"
495,9869,A bike is being ridden over a monkey,A person is riding a dirt bike down a dirt hill,2.8,"NEUTRAL
"
496,9880,A biker is riding away from a fence,A man is dancing on the road,1.2,"NEUTRAL
"
497,9931,A woman is playing an electric guitar,A kid is playing guitar,3,"NEUTRAL
"
498,9963,The animal is grazing on the grass,The cop is sitting on a police bike,1,"NEUTRAL
"
499,9975,The dog is snapping at some droplets of water,A girl in a band is playing an instrument,1,"NEUTRAL
"
500,9988,A young man is pushing a motocross bike down a dirt hill,A dog is swimming after a tennis ball,1,"NEUTRAL
"
