Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
0,absorbed,VBN,~에 몰두한[빠져 있는],~에 몰두한[빠져 있는],~에 몰두한[빠져 있는],,~에 몰두한[빠져 있는],~에 몰두한,disenthralled,~에 몰두한,consumed
1,abstracted,VBN,"[격식]  (…에) 마음이 쏠린, 정신이 딴 데 팔린  ","  (…에) 마음이 쏠린, 정신이 딴 데 팔린  ","  (…에) 마음이 쏠린, 정신이 딴 데 팔린  ",,"  (…에) 마음이 쏠린, 정신이 딴 데 팔린  "," 마음이 쏠린, 정신이 딴 데 팔린",," 마음이 쏠린, 정신이 딴 데 팔린",preoccupied
2,abstricted,VBN,"[격식]  (…에) 마음이 쏠린, 정신이 딴 데 팔린  ","  (…에) 마음이 쏠린, 정신이 딴 데 팔린  ","  (…에) 마음이 쏠린, 정신이 딴 데 팔린  ",,"  (…에) 마음이 쏠린, 정신이 딴 데 팔린  "," 마음이 쏠린, 정신이 딴 데 팔린",," 마음이 쏠린, 정신이 딴 데 팔린",NaN
3,accidented,VBN,"[지질]  울퉁불퉁한, 기복이 있는(opp. even 1)  ","  울퉁불퉁한, 기복이 있는(opp","  울퉁불퉁한, 기복이 있는(opp",,"  울퉁불퉁한, 기복이 있는(opp","울퉁불퉁한, 기복이 있는(opp",,"울퉁불퉁한, 기복이 있는(opp",NaN
4,accomplished,VBN,"  기량이 뛰어난, 재주가 많은  ","기량이 뛰어난, 재주가 많은  ","기량이 뛰어난, 재주가 많은  ",,"기량이 뛰어난, 재주가 많은  ","기량이 뛰어난, 재주가 많은",incapable,"기량이 뛰어난, 재주가 많은",consummate
5,acetated,VBN,아세트산으로 처리한,아세트산으로 처리한,아세트산으로 처리한,,아세트산으로 처리한,아세트산으로 처리한,,아세트산으로 처리한,NaN
6,addleheaded,VBN,(=addlebrained),(=addlebrained),(=addlebrained),,(=addlebrained),,,,addle-pated
7,aforenamed,VBN,"[문어]  앞서 게재한, 전술의.  ","  앞서 게재한, 전술의","  앞서 게재한, 전술의",,"  앞서 게재한, 전술의","앞서 게재한, 전술의",,"앞서 게재한, 전술의",NaN
8,aisled,VBN,측랑이 있는,측랑이 있는,측랑이 있는,,측랑이 있는,측랑이 있는,,측랑이 있는,NaN
9,assented,VBN,[격식]  찬성하다,  찬성하다,  찬성하다,,  찬성하다,찬성하다,denial,찬성하다,acquiescence
10,assumed,VBN,(사실로 또는 존재하는 것으로) 추정[상정]되는,(사실로 또는 존재하는 것으로) 추정[상정]되는,(사실로 또는 존재하는 것으로) 추정[상정]되는,,(사실로 또는 존재하는 것으로) 추정[상정]되는, 추정되는,real, 추정되는,counterfeit
11,augmented,VBN,"  증가된, [음악] 증음된  ","증가된, [음악] 증음된  ","증가된, [음악] 증음된  ",,"증가된, [음악] 증음된  ","증가된,  증음된",contracted,"증가된,  증음된",extended
12,balconied,VBN,발코니가 있는,발코니가 있는,발코니가 있는,,발코니가 있는,발코니가 있는,,발코니가 있는,NaN
13,barenecked,VBN,목을 드러낸,목을 드러낸,목을 드러낸,,목을 드러낸,목을 드러낸,,목을 드러낸,NaN
14,beached,VBN,바닷가[해변]로 오다[가져오다],바닷가[해변]로 오다[가져오다],바닷가[해변]로 오다[가져오다],,바닷가[해변]로 오다[가져오다],바닷가,,바닷가,deserted
15,bedded,VBN,[지질]  층상(層狀)의,  층상(層狀)의,  층상(層狀)의,,  층상(層狀)의,층상의,destroy,층상의,embed
16,bemedalled,VBN,훈장[메달]을 단.,훈장[메달]을 단.,훈장[메달]을 단.,,훈장[메달]을 단.,훈장을 단.,,훈장을 단.,NaN
17,beribboned,VBN,"  리본으로 장식한, 훈장을 단  ","리본으로 장식한, 훈장을 단  ","리본으로 장식한, 훈장을 단  ",,"리본으로 장식한, 훈장을 단  ","리본으로 장식한, 훈장을 단",disfigure,"리본으로 장식한, 훈장을 단",dress
18,beset,VBN,[격식]  괴롭히다,  괴롭히다,  괴롭히다,,  괴롭히다,괴롭히다,clear up,괴롭히다,beleaguer
19,bewired,VBN,be wired,be wired,be wired,,be wired,be wired,relax,be wired,jiggle
20,blighted,VBN,"  망치다, 엉망으로 만들다      2.    [명사]  (곡식의) 병충해      3.    [명사]  어두운 그림자(를 드리우는 것)  ",Longer,Longer,,Longer,Longer,cheerful,Longer,chilly
21,born,VBN,"  타고난, 천부적인  ","타고난, 천부적인  ","타고난, 천부적인  ",,"타고난, 천부적인  ","타고난, 천부적인",,"타고난, 천부적인",essential
22,bosselated,VBN,"[의학]  돌기가 많은, 우둘투둘한  ","  돌기가 많은, 우둘투둘한  ","  돌기가 많은, 우둘투둘한  ",,"  돌기가 많은, 우둘투둘한  ","돌기가 많은, 우둘투둘한",,"돌기가 많은, 우둘투둘한",NaN
23,bountied,VBN,"  장려금을 받은, 장려금이 나오는  ","장려금을 받은, 장려금이 나오는  ","장려금을 받은, 장려금이 나오는  ",,"장려금을 받은, 장려금이 나오는  ","장려금을 받은, 장려금이 나오는",,"장려금을 받은, 장려금이 나오는",NaN
24,braceleted,VBN,팔찌를 낀,팔찌를 낀,팔찌를 낀,,팔찌를 낀,팔찌를 낀,,팔찌를 낀,NaN
25,brokenhearted,VBN,"  비탄에 잠긴, 단장(斷腸)의, 상심한, 실연한  ","비탄에 잠긴, 단장(斷腸)의, 상심한, 실연한  ","비탄에 잠긴, 단장(斷腸)의, 상심한, 실연한  ",,"비탄에 잠긴, 단장(斷腸)의, 상심한, 실연한  ","비탄에 잠긴, 단장의, 상심한, 실연한",lighthearted,"비탄에 잠긴, 단장의, 상심한, 실연한",crushed
26,bullated,VBN,"  불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의  ","불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의  ","불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의  ",,"불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의  ","불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의",,"불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의",NaN
27,bulleted,VBN,"  불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의  ","불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의  ","불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의  ",,"불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의  ","불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의",slow,"불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의",dash
28,calved,VBN,새끼를 낳다,새끼를 낳다,새끼를 낳다,,새끼를 낳다,새끼를 낳다,,새끼를 낳다,NaN
29,canaliculated,VBN,"[植]  (종려나무 잎자루처럼) 세로홈이 있는, 홈통 모양의  ","  (종려나무 잎자루처럼) 세로홈이 있는, 홈통 모양의  ","  (종려나무 잎자루처럼) 세로홈이 있는, 홈통 모양의  ",,"  (종려나무 잎자루처럼) 세로홈이 있는, 홈통 모양의  "," 세로홈이 있는, 홈통 모양의",," 세로홈이 있는, 홈통 모양의",NaN
30,candied,VBN,설탕에 조린,설탕에 조린,설탕에 조린,,설탕에 조린,설탕에 조린,,설탕에 조린,flattering
31,carven,VBN,[시]  조각한(carved).,  조각한(carved),  조각한(carved),,  조각한(carved),조각한,,조각한,engraved
32,castellated,VBN,[건축]  성곽 양식의,  성곽 양식의,  성곽 양식의,,  성곽 양식의,성곽 양식의,,성곽 양식의,NaN
33,caudated,VBN,"  꼬리가 있는, 꼬리 모양의 부속 기관을 가진  ","꼬리가 있는, 꼬리 모양의 부속 기관을 가진  ","꼬리가 있는, 꼬리 모양의 부속 기관을 가진  ",,"꼬리가 있는, 꼬리 모양의 부속 기관을 가진  ","꼬리가 있는, 꼬리 모양의 부속 기관을 가진",,"꼬리가 있는, 꼬리 모양의 부속 기관을 가진",NaN
34,cellulated,VBN,세포 모양의.,세포 모양의.,세포 모양의.,,세포 모양의.,세포 모양의.,,세포 모양의.,NaN
35,chapleted,VBN,화관을 쓴,화관을 쓴,화관을 쓴,,화관을 쓴,화관을 쓴,,화관을 쓴,NaN
36,chickenbreasted,VBN,새가슴의,새가슴의,새가슴의,,새가슴의,새가슴의,,새가슴의,NaN
37,citified,VBN,[보통 못마땅함]  도시풍의,  도시풍의,  도시풍의,,  도시풍의,도시풍의,,도시풍의,civic
38,clipped,VBN,딱 부러지는,딱 부러지는,딱 부러지는,,딱 부러지는,딱 부러지는,kind,딱 부러지는,concise
39,closefisted,VBN,"[속어]  구두쇠의, 인색한  ","  구두쇠의, 인색한  ","  구두쇠의, 인색한  ",,"  구두쇠의, 인색한  ","구두쇠의, 인색한",,"구두쇠의, 인색한",miserly
40,closemouthed,VBN,"  말이 없는, 속을 터놓지 않는  ","말이 없는, 속을 터놓지 않는  ","말이 없는, 속을 터놓지 않는  ",,"말이 없는, 속을 터놓지 않는  ","말이 없는, 속을 터놓지 않는",open,"말이 없는, 속을 터놓지 않는",clammed up
41,clubfooted,VBN,만곡족을 가진.,만곡족을 가진.,만곡족을 가진.,,만곡족을 가진.,만곡족을 가진.,,만곡족을 가진.,NaN
42,constrained,VBN,"[격식]  부자연스러운, 강요된  ","  부자연스러운, 강요된  ","  부자연스러운, 강요된  ",,"  부자연스러운, 강요된  ","부자연스러운, 강요된",,"부자연스러운, 강요된",embarrassed
43,constricted,VBN,Her throat felt dry and constricted.      그녀는 목이 건조하고 조이는 느낌이었다.,Longer,Longer,,Longer,Longer,free,Longer,definite
44,contented,VBN,"  (특히 자기 삶에) 만족[자족]해 하는 (→content 2 (xp) adj.(/xp)), (↔discontented)  ",Longer,Longer,,Longer,Longer,unfulfilled,Longer,fulfilled
45,continued,VBN,지속적인,지속적인,지속적인,,지속적인,지속적인,discontinuous,지속적인,extended
46,copped,VBN,"[비격식]  겪다, 당하다      3.    ","  겪다, 당하다      3","  겪다, 당하다      3",,"  겪다, 당하다      3","겪다, 당하다 3",let go,"겪다, 당하다 3",capture
47,corrugated,VBN,"  물결 모양의, 골이 진  ","물결 모양의, 골이 진  ","물결 모양의, 골이 진  ",,"물결 모양의, 골이 진  ","물결 모양의, 골이 진",smooth,"물결 모양의, 골이 진",channelled
48,craven,VBN,"[격식 못마땅함]  용기 없는, 비겁한 (=cowardly), (↔brave)  ","  용기 없는, 비겁한 (=cowardly), (↔brave)  ","  용기 없는, 비겁한 (=cowardly), (↔brave)  ",,"  용기 없는, 비겁한 (=cowardly), (↔brave)  ","용기 없는, 비겁한 ",brave,"용기 없는, 비겁한 ",chicken
49,crestfallen,VBN,"  풀이 죽은, 의기소침한  ","풀이 죽은, 의기소침한  ","풀이 죽은, 의기소침한  ",,"풀이 죽은, 의기소침한  ","풀이 죽은, 의기소침한",encouraged,"풀이 죽은, 의기소침한",despondent
50,crosslighted,VBN,교차 광선이 있는.,교차 광선이 있는.,교차 광선이 있는.,,교차 광선이 있는.,교차 광선이 있는.,,교차 광선이 있는.,NaN
51,crusted,VBN,딱딱한 껍질[뚜껑]이 있는,딱딱한 껍질[뚜껑]이 있는,딱딱한 껍질[뚜껑]이 있는,,딱딱한 껍질[뚜껑]이 있는,딱딱한 껍질이 있는,reveal,딱딱한 껍질이 있는,glaze
52,cubited,VBN,"  완척의, 팔꿈치의  ","완척의, 팔꿈치의  ","완척의, 팔꿈치의  ",,"완척의, 팔꿈치의  ","완척의, 팔꿈치의",,"완척의, 팔꿈치의",NaN
53,debauched,VBN,"  방탕한 (=depraved, dissolute)  ","방탕한 (=depraved, dissolute)  ","방탕한 (=depraved, dissolute)  ",,"방탕한 (=depraved, dissolute)  ",방탕한 ,decent,방탕한 ,corrupt
54,declared,VBN,공표[선언]한 (=professed),공표[선언]한 (=professed),공표[선언]한 (=professed),,공표[선언]한 (=professed),공표한 ,,공표한 ,stated
55,decried,VBN,[격식]  매도하다 (=condemn),  매도하다 (=condemn),  매도하다 (=condemn),,  매도하다 (=condemn),매도하다 ,praise,매도하다 ,condemn
56,deferred,VBN,"  연기된, 거치(据置)한, 징병 유예중인  ","연기된, 거치(据置)한, 징병 유예중인  ","연기된, 거치(据置)한, 징병 유예중인  ",,"연기된, 거치(据置)한, 징병 유예중인  ","연기된, 거치한, 징병 유예중인",forwarded,"연기된, 거치한, 징병 유예중인",negotiated
57,defoliated,VBN,"[전문 용어]  (나무·삼림을) 고사시키다, 고엽제를 쓰다  ","  (나무·삼림을) 고사시키다, 고엽제를 쓰다  ","  (나무·삼림을) 고사시키다, 고엽제를 쓰다  ",,"  (나무·삼림을) 고사시키다, 고엽제를 쓰다  "," 고사시키다, 고엽제를 쓰다",," 고사시키다, 고엽제를 쓰다",NaN
58,demoded,VBN,(=D?MOD?),(=D?MOD?),(=D?MOD?),,(=D?MOD?),,fresh,,antique
59,dentilated,VBN,[건축]  치상(齒狀)(구조)의.,  치상(齒狀)(구조)의,  치상(齒狀)(구조)의,,  치상(齒狀)(구조)의,치상의,,치상의,NaN
60,deplumated,VBN,깃털이 뽑힌[빠진]. (또는 deplumated),깃털이 뽑힌[빠진]. (또는 deplumated),깃털이 뽑힌[빠진]. (또는 deplumated),,깃털이 뽑힌[빠진]. (또는 deplumated),깃털이 뽑힌. ,,깃털이 뽑힌. ,NaN
61,deranged,VBN,"  (특히 정신병으로 인해 행동과 사고가) 정상이 아닌, 미친  ","(특히 정신병으로 인해 행동과 사고가) 정상이 아닌, 미친  ","(특히 정신병으로 인해 행동과 사고가) 정상이 아닌, 미친  ",,"(특히 정신병으로 인해 행동과 사고가) 정상이 아닌, 미친  "," 정상이 아닌, 미친",rational," 정상이 아닌, 미친",demented
62,derived,VBN,"  유래된, 파생된  ","유래된, 파생된  ","유래된, 파생된  ",,"유래된, 파생된  ","유래된, 파생된",,"유래된, 파생된",copied
63,detailed,VBN,상세한,상세한,상세한,,상세한,상세한,false,상세한,complicated
64,devoted,VBN,헌신적인,헌신적인,헌신적인,,헌신적인,헌신적인,dishonest,헌신적인,caring
65,directed,VBN,"  유도된, 지시받은, 규제된  ","유도된, 지시받은, 규제된  ","유도된, 지시받은, 규제된  ",,"유도된, 지시받은, 규제된  ","유도된, 지시받은, 규제된",vagrant,"유도된, 지시받은, 규제된",aimed
66,dirten,VBN,"  더럽게 만들다, 흙을 묻히다  ","더럽게 만들다, 흙을 묻히다  ","더럽게 만들다, 흙을 묻히다  ",,"더럽게 만들다, 흙을 묻히다  ","더럽게 만들다, 흙을 묻히다",,"더럽게 만들다, 흙을 묻히다",NaN
67,disgusted,VBN,"  혐오감을 느끼는, 넌더리를 내는, 역겨워 하는  ","혐오감을 느끼는, 넌더리를 내는, 역겨워 하는  ","혐오감을 느끼는, 넌더리를 내는, 역겨워 하는  ",,"혐오감을 느끼는, 넌더리를 내는, 역겨워 하는  ","혐오감을 느끼는, 넌더리를 내는, 역겨워 하는",fresh,"혐오감을 느끼는, 넌더리를 내는, 역겨워 하는",outraged
68,disrelated,VBN,"  무관한, 관련이 없는  ","무관한, 관련이 없는  ","무관한, 관련이 없는  ",,"무관한, 관련이 없는  ","무관한, 관련이 없는",,"무관한, 관련이 없는",NaN
69,distilled,VBN,"  증류한, 증류하여 얻은  ","증류한, 증류하여 얻은  ","증류한, 증류하여 얻은  ",,"증류한, 증류하여 얻은  ","증류한, 증류하여 얻은",,"증류한, 증류하여 얻은",inebriant
70,doghearted,VBN,잔혹한.,잔혹한.,잔혹한.,,잔혹한.,잔혹한.,,잔혹한.,NaN
71,downhearted,VBN,낙담한,낙담한,낙담한,,낙담한,낙담한,happy,낙담한,chapfallen
72,eaved,VBN,(건축물에) 처마가 있는.,(건축물에) 처마가 있는.,(건축물에) 처마가 있는.,,(건축물에) 처마가 있는., 처마가 있는.,, 처마가 있는.,NaN
73,enlightened,VBN,"[호감]  깨우친, 계몽된, 개화된  ","  깨우친, 계몽된, 개화된  ","  깨우친, 계몽된, 개화된  ",,"  깨우친, 계몽된, 개화된  ","깨우친, 계몽된, 개화된",stupid,"깨우친, 계몽된, 개화된",knowledgeable
74,fainthearted,VBN,"  소심한, 용기 없는, 겁많은, 뱃심 없는  ","소심한, 용기 없는, 겁많은, 뱃심 없는  ","소심한, 용기 없는, 겁많은, 뱃심 없는  ",,"소심한, 용기 없는, 겁많은, 뱃심 없는  ","소심한, 용기 없는, 겁많은, 뱃심 없는",,"소심한, 용기 없는, 겁많은, 뱃심 없는",cowardly
75,falsehearted,VBN,"  성실하지 않은, 신의가 없는  ","성실하지 않은, 신의가 없는  ","성실하지 않은, 신의가 없는  ",,"성실하지 않은, 신의가 없는  ","성실하지 않은, 신의가 없는",reliable,"성실하지 않은, 신의가 없는",tricky
76,feared,VBN,"[방언]  무서워하는, 두려워하는.  ","  무서워하는, 두려워하는","  무서워하는, 두려워하는",,"  무서워하는, 두려워하는","무서워하는, 두려워하는",,"무서워하는, 두려워하는",redoubtable
77,feathered,VBN,"  깃털이 있는, 깃털로 덮인  ","깃털이 있는, 깃털로 덮인  ","깃털이 있는, 깃털로 덮인  ",,"깃털이 있는, 깃털로 덮인  ","깃털이 있는, 깃털로 덮인",,"깃털이 있는, 깃털로 덮인",downy
78,featheredged,VBN,가장자리를 얇게 깎은,가장자리를 얇게 깎은,가장자리를 얇게 깎은,,가장자리를 얇게 깎은,가장자리를 얇게 깎은,,가장자리를 얇게 깎은,NaN
79,fibrillated,VBN,소섬유가 있는,소섬유가 있는,소섬유가 있는,,소섬유가 있는,소섬유가 있는,,소섬유가 있는,NaN
80,filled,VBN,"  (내용물이) 가득 찬, 가득 든.  ","(내용물이) 가득 찬, 가득 든.  ","(내용물이) 가득 찬, 가득 든.  ",,"(내용물이) 가득 찬, 가득 든.  "," 가득 찬, 가득 든.",needy," 가득 찬, 가득 든.",full
81,fluted,VBN,세로로 홈이 새겨진,세로로 홈이 새겨진,세로로 홈이 새겨진,,세로로 홈이 새겨진,세로로 홈이 새겨진,smooth,세로로 홈이 새겨진,channelled
82,foraminated,VBN,(작은) 구멍이 있는,(작은) 구멍이 있는,(작은) 구멍이 있는,,(작은) 구멍이 있는, 구멍이 있는,, 구멍이 있는,NaN
83,forcipated,VBN,핀셋 모양의,핀셋 모양의,핀셋 모양의,,핀셋 모양의,핀셋 모양의,,핀셋 모양의,NaN
84,forecited,VBN,"  앞서 인용한, 전기(前記)의  ","앞서 인용한, 전기(前記)의  ","앞서 인용한, 전기(前記)의  ",,"앞서 인용한, 전기(前記)의  ","앞서 인용한, 전기의",,"앞서 인용한, 전기의",NaN
