,"1. Using the air conditioner above the amount of power, the current was excessive and the air conditioner was turned off. At this time, other electronics such as TVs and refrigerators that were connected to the same outlet did not turn off. Let's explain in detail why the other electronics connected to the same code did not turn off even though the air conditioner was turned off, using our knowledge of how electricity works and how to connect the electronics. ",q1_parallel,q1_current flow,q1_power amount,q1_fuse
416,"It's not that the air conditioner is off, it's that the person turned off the power",,,,
417,Let's plug it in somewhere else instead of course,,,,
418,"The codes are the same, but... Uh... I don't know",,,,
419,"""Encounters have been overrun by more than the amount of electricity",,,,
420,"The other thing is that it doesn't go too much.""",,,,
421,"This is the same principle that if the surface temperature rises to 90 degrees with a smart charger inserted, only the smartphone will be turned off, not other electronic devices.  Therefore, the reason why other electronic products such as TVs and refrigerators that were connected to the same outlet did not turn off was because they only used air conditioners excessively.",,,,
422,This is because air conditioners and other electronics are connected in parallel.,,,,
423,There are several wires in the cord,,,,
424,The air conditioner is bleeding too much,,,,
425,The device that cuts itself off for safety has been cut off due to a lot of current.,,,,
426,The TV and refrigerator did not turn off by connecting wires in parallel.,,,,
427,call a person in,,,,
428,"""It's about generating electricity",,,,
429,"""",,,,
430,Turn off the electronics and use up the power,,,,
431,It's far away,,,,
432,I think a cool head is good.,,,,
433,Don't know,,,,
434,Hugging the right contender,,,,
435,I don't know,,,,
436,show off one's wire cord,,,,
437,",",,,,
438,"The cord is broken, so the electricity keeps going on",,,,
439,"Even if it's the same chord, the concert is different",,,,
440,"Wire cord pulled out, electrical control blocked only that place.",,,,
441,Only the air conditioner is broken,,,,
442,The air conditioner consumed so much power that the air conditioner went over to the average current shift that only the air conditioner was turned off and nothing else was turned off.,,,,
443,Automatically turned off due to excessive current,,,,
444,I don't know.,,,,
445,I use a lot of electricity with air conditioning,,,,
446,in parallel,,,,
447,"Using electricity with a lot of air conditioning,",,,,
448,socket,,,,
449,It's because I used one for a long time and overheated,,,,
450,My knowledge is not up to there,,,,
451,in parallel,,,,
452,in parallel,,,,
453,Because it was connected in parallel.,,,,
454,The voltage applied to the instruments in parallel is constant,,,,
455,in parallel,,,,
456,It is an electronic device connected in parallel.,,,,
457,"The air conditioner and other products are connected in parallel, not in series, so even if the air conditioner is turned off, other products are not turned off",,,,
458,"Because the electrical cords in the home are connected in parallel, even if one electrical device is turned off, the other is fine.",,,,
459,I don't know. Smooze,,,,
460,I don't know,,,,
461,It's overloaded inside the air conditioner,,,,
462,I don't know.,,,,
463,I don't know,,,,
464,"Using parallel connections, the air conditioner was turned off, but others seemed to be kept off.",,,,
465,Air conditioners consume more electricity,,,,
466,It is because only the outlet of the air conditioner is missing.,,,,
467,"Because parallel connections are electrified in many places at the same time, other electronic products continue to be connected even when the air conditioner is turned off",,,,
468,"This is because current flows through different batteries, not the same current for air conditioners, refrigerators, and TVs.",,,,
469,This is because air conditioners absorb electricity the most.,,,,
470,The electronics are connected in parallel.,,,,
471,This is because electronics are connected by parallel connection method.,,,,
472,I don't know.,,,,
473,"Parallel connections have electricity flowing in many places, because serial connections do not have electricity flowing here",,,,
474,Parallel connection,,,,
475,Because the air conditioner was overheated due to excessive current flow.,,,,
476,"Unlike air conditioners, all electronics are connected in series.",,,,
477,"Unlike air conditioners, refrigerators and televisions are not used excessively, so current flows normally to televisions and refrigerators",,,,
478,"""",,,,
479,I don't know,,,,
480,I don't know.,,,,
481,I don't know.,,,,
482,I don't know.,,,,
483,Because home appliances are connected in parallel,,,,
484,.,,,,
485,It's a parallel connection,,,,
486,Because it's a parallel connection,,,,
487,The air conditioner takes a lot of electricity,,,,
488,It's in parallel,,,,
489,I don't know.,,,,
490,It's a parallel connection,,,,
491,I don't know.,,,,
492,The air conditioner takes up too much electricity,,,,
493,It is because of the parallel connection structure.,,,,
494,The AC has too much electricity,,,,
495,It's connected in parallel,,,,
496,"Home appliances are usually connected in parallel, so even if one is broken, the rest is possible.",,,,
497,I don't know,,,,
498,I don't know,,,,
499,I don't know.,,,,
500,I don't know.,,,,
501,"I think when the circuit breaker fell, all the electricity in the house would have gone out or a plug bite like a refrigerator or a computer would have gone out.",,,,
502,It's connected in parallel,,,,
503,"I think the electricity in the house would have gone out when the breaker fell, or a plug bite like a refrigerator or a computer would have gone out.",,,,
504,This is because there is a limit to electricity and the amount of electricity is not supposed to affect it while other electricity and electricity are connected.,,,,
505,Don't know,,,,
506,None.,,,,
507,Overheating,,,,
508,I don't know.,,,,
509,It is because of the parallel connection.,,,,
510,It's overheating,,,,
511,It's because electricity is flowing.,,,,
512,I don't know.,,,,
513,Because the current is divided and cloudy,,,,
514,"It's connected in series, and all the power is consumed by the previous device",,,,
515,Because electronics have standby power,,,,
516,"""The current is different",,,,
517,"""",,,,
518,"It's not a direct current, it's used in parallel.",,,,
519,I don't know,,,,
520,I'm not sure,,,,
521,using alternating current,,,,
522,Because it is connected in parallel.,,,,
523,Air conditioning only,,,,
524,"This is because the octopus foot cord has a parallel structure in which current is connected, so even if the power of the air conditioner is cut off, power is not cut off for other electronic products.",,,,
525,"It is not that power was not supplied to the same outlet, but because the air conditioner was not supplied with power, the air conditioner was turned off, and electronic products connected to the same outlet were not turned off.",,,,
526,Because it's a parallel connection,,,,
527,It does not affect other products because it does not flow too much from the code but from the plug of the electronics,,,,
528,"Because electrical products are connected in parallel, even if one circuit is cut off, it does not turn off because current flows to the other circuit.",,,,
529,"This is because electricity does not work on only one electronic product, but acts in parallel with several electronic products.",,,,
530,"It was connected to the same outlet, but it was not connected in series and was connected in parallel, so it did not affect each other.",,,,
531,"Electronics are connected in parallel, so even if one electronics is disconnected due to excessive current flow, current flows in the other electronics.",,,,
532,I don't know,,,,
533,What's the difference between an air conditioner?,,,,
534,I don't know. Maybe the amount of power that the air conditioner turned off wasn't that much for other electronics.,,,,
535,Because it's connected in parallel,,,,
536,I don't know.,,,,
537,The air conditioner uses the most electrical current,,,,
538,Only that part is overloaded and the power is turned off,,,,
539,I don't know.,,,,
540,Because it is made up of series.,,,,
541,The AC turned off when the AC was on,,,,
542,The air conditioner used so much power that it was the only one that didn't turn on,,,,
543,I don't know.,,,,
544,"Because electricity was connected in parallel, only one electronic device turned off electricity",,,,
545,I'll change it,,,,
546,Parallel connection,,,,
547,It seems that other products can use high power.,,,,
548,It's in parallel,,,,
549,"Yes, ^___^",,,,
550,Each member has a different amount of current,,,,
551,Kkyu,,,,
552,M and D,,,,
553,Hall,,,,
554,I have no idea.,,,,
555,There's more electricity in the air conditioner than other products,,,,
556,Use a parallel method.,,,,
557,1,,,,
558,"The electricity supplied to the household is alternating current, so even if one side of the electricity is cut off, the current in the other side continues to flow",,,,
559,1,,,,
560,Kim Byung-ryul,,,,
561,"??;??;??;-a, ?´á???,561.0,580",,1.0,0.0,
562,Circuit parallel is different,,,,
563,I have no idea.,,,,
564,It's connected separately,,,,
565,I don't know,,,,
566,I don't know.,,,,
567,I don't know.,,,,
568,This is because the components of electronics are connected in parallel.,,,,
569,Because it is connected in parallel.,,,,
570,I don't remember ?ã??572.0,,,,
571,"The current was flowing in direct current and overloaded by the current connected to the air conditioner, so the air conditioner was turned off, while other electronic products worked well because the current was flowing normally",,,,
572,The air conditioner's wires are disconnected,,,,
573,"Turn off the air conditioner and try again. If not, call the electronics repair company",,,,
574,I don't know.,,,,
575,"It doesn't have to be one thing in parallel, it becomes another",,,,
576,I don't know.,,,,
577,TV and refrigerator are connected in parallel,,,,
578,Air conditioner and TV have different current,,,,
579,Only electronic devices that use the most electricity turn off,,,,
580,There's something wrong with the fridge,,,,
581,..,,,,
582,It's stuck in the socket too,,,,
583,...,,,,
584,.....,,,,
585,The air conditioner's wires are cut off,,,,
586,Only the air conditioner was turned off because of the parallel connection,,,,
587,Only the air conditioner was turned off because of the parallel connection,,,,
588,I don't know.,,,,
589,I don't know.,,,,
590,Because the wires using the air conditioner and the wires using the TV and refrigerator are different.,,,,
591,This is because the wires are connected separately.,,,,
592,I don't know.,,,,
593,The current flowing is connected to the TV and refrigerator,,,,
594,I'm turning it off,,,,
595,You should buy products that consume less electricity,,,,
596,"Yes, I got it",,,,
597,"""It's better to buy low-cost products",,,,
598,"""",,,,
599,Parallel connection,,,,
600,"Even if one path is blocked, electricity flows through the other path",,,,
601,I don't understand.,,,,
602,I used too much electricity,,,,
603,I don't know.,,,,
604,It's in parallel,,,,
605,I don't know.,,,,
606,Parallel connection/,,,,
607,Parallel connection,,,,
608,"Because it is connected in parallel, it is connected one by one, so even if one is turned off, the other does not turn off",,,,
609,"""It's a parallel connection, so even if the air conditioner is turned off, the TV and other electronics won't turn off",,,,
610,"""",,,,
611,It's connected to a different outlet,,,,
612,It's in parallel,,,,
613,"""1. Electricity flows, but only the air conditioner broke down due to overloading of the air conditioner, so other electronic products still have electricity.""",,,,
614,"2. Insert the outlet into the outlet hole properly, and if there is any electronic device that is not used, it must be removed",,,,
615,"""",,,,
616,"Because current flows from an outlet different from the outlet connected with the air conditioner, the outlet connected with the air conditioner does not flow, but the current flows from the other outlet.",,,,
617,"Too many electronics are plugged into the outlet, so the amount of power flowing through each product is weak.Among them, the air conditioner was turned off because it required more power than the amount of flowing power.",,,,
618,"Because they are not connected in series, but in separate ways.",,,,
619,Because it is connected to other energy unlike air conditioner,,,,
620,It is because of the parallel connection.,,,,
621,The air conditioner seems to have been stopped by the sensor operation of the air conditioner because of too much current,,,,
622,Toad,,,,
623,The roads are different,,,,
624,"The same electricity is connected, but different currents flow",,,,
625,I don't know.,,,,
626,The roads are different,,,,
627,This is because it is connected in a parallel structure that does not lead in one direction.,,,,
628,This is because it is connected in a parallel structure that does not lead in one direction,,,,
629,This is because it is connected to an alignment structure that does not lead in one direction.,,,,
630,"It's not connected in one direction, but it's connected in a military structure",,,,
631,Because they used parallel structures,,,,
632,Because it's connected in parallel,,,,
633,It's because it's connected in parallel,,,,
634,This is because it is connected to a wall structure that does not lead in one direction.,,,,
635,"Connected by alternating current, one disconnect does not cause another to disconnect",,,,
636,a parallel connection,,,,
637,"Oh, my.",,,,
638,I think it's because of the difference between direct current and exchange.,,,,
639,Let's use a manual-powered bicycle.,,,,
640,Because it was connected in parallel.,,,,
641,It's in parallel.,,,,
642,I don't know.,,,,
643,Because it is connected in parallel.,,,,
644,It's in parallel,,,,
645,This is because electronics are connected in parallel.,,,,
646,There's no joint responsibility for electrical furniture,,,,
647,This is because it is connected by a parallel connection.,,,,
648,I don't know.,,,,
649,Why! It is connected in parallel and does not affect each other.,,,,
650,"This is because electronics are generally connected by alternating current rather than direct current, and each electronics is supplied with electricity",,,,
651,This is because all electronics were connected in a separate series.,,,,
652,I don't know,,,,
653,It doesn't matter if one product is turned off because it is connected in parallel.,,,,
654,Connect in parallel,,,,
655,Because it's connected in parallel!,,,,
656,This is because all of the electricity connected to our home is connected in parallel at 220v.,,,,
657,It is not affected because it is connected in parallel.,,,,
658,I don't know. Why is that?,,,,
659,I don't know.,,,,
660,This is because electricity is installed in parallel structure.,,,,
661,This is because the electronics outlet connection is alternating current.,,,,
662,"Since it was a parallel connection, not a DC connection, one effect does not affect the other.",,,,
663,It's connected in parallel,,,,
664,"Because it is a parallel connection. In the case of serial connection, if the connection of the air conditioner is poor, the following electronic products are also affected, but in the case of parallel connection, the poor air conditioner and the connection status of other electronic products are not related. Therefore, it may be considered that the air conditioner and other electronic products are connected in parallel.",,,,
665,"Since electronic products in the home are connected in parallel, even if the connection to one wire is cut off, a closed circuit is configured due to the other wire, and thus a current flows.",,,,
666,I only use the air conditioner a lot,,,,
667,"If you plug it into the same cord a lot, the electricity usage will increase and it will turn off",,,,
668,Because electricity flows in other things,,,,
669,I'll put it somewhere else,,,,
670,I don't know.,,,,
671,Air conditioning is turned off only because the amount of air conditioning is different for each instrument,,,,
672,"Although the current of the air conditioner is cut off, other electronic circuits are connected safely and many of them are turned off",,,,
673,"If the electricity goes to 100, the TV goes to 50 and the refrigerator takes 50, the air conditioner goes to 0",,,,
674,I use too much electricity only for the air conditioner,,,,
675,I don't know.,,,,
676,I don't know.T,,,,
677,I don't know,,,,
678,I don't know.,,,,
679,I don't know,,,,
680,I only use the air conditioner a lot,,,,
681,I don't know.,,,,
682,Only things that are different from the ones that have electricity,,,,
683,"There's a stage of electricity, but if you go over that stage, the electricity will be cut off",,,,
684,??and ??686.0,,,,
685,"It's connected to the same cord, but the electricity flows separately",,,,
686,"""The electricity only flows to the air conditioner, so only the air conditioner cord goes too much.""",,,,
687,"Since there is a shock, there is no impact on other codes, so other products are not turned off.""",,,,
688,Because I used too much electricity,,,,
689,"The air conditioner was turned off because it was connected in parallel, but other products seem to have not been turned off.",,,,
690,"Electricity comes from power plants, passes through power towers, enters homes, and as we learned in science class, electricity is distributed separately, so even if the air conditioner is turned off, something else can be turned on",,,,
691,Why! It is connected in parallel and does not affect each other.,,,,
692,Because electronics are all connected in parallel,,,,
693,"Electronics are usually connected in parallel, so even if one power is cut off, there is no effect on the other.",,,,
694,"They are connected in parallel to prevent them from turning off altogether, which is weaker than the power series, but continues to flow to other places even if one place is cut off.",,,,
695,Because electronics are connected in parallel,,,,
696,"Because electronics were connected in parallel, other electronics did not turn off even though one electronics connected to the same code was turned off.",,,,
697,I don't know ?ã??699.0,,,,
698,"When connecting electronic products, the resulting pre-products did not turn off because they were connected in parallel rather than in series.",,,,
699,"Each electronics is connected in parallel so that electricity can flow in the other direction even if one side is cut off, so other electronics can operate even if the air conditioner is turned off.",,,,
700,"This is because electronics are connected in parallel. When connected in series, current moves to one outlet, so other electronics will be turned off when air conditioners are connected to the outlet in parallel, but when connected in parallel, current flows separately, so other electronics will not be turned off even if the air conditioner is turned off.",,,,
701,"It flows in parallel, and even if one circuit is cut off, current flows.",,,,
702,The sensor in the air conditioner detects excessive power and turns off the power in the air conditioner before a major problem occurs,,,,
703,"Electricity is generated from the flow of electrons. However, electronic components in the home are connected in parallel. Therefore, even if one electronics is turned off to block the movement of electrons, electrons still flow to the other electronics, so the power is not turned off.",,,,
704,"Most of the appliances we use are connected in parallel. Unlike serial connections that connect multiple electronic products to one through one wire, each electronic product is connected through a different wire, so other electronic products are not greatly affected even if a problem occurs in one electronic product.",,,,
705,"This is because other electronics other than air conditioners were not used above the amount of electricity. Electronics are all connected to the same outlet, but it doesn't matter if the air conditioner uses too much power because the outlet carries the same current to each outlet hole.",,,,
706,"The method of connecting electronics is serial connection to one wire, and parallel connection to several paths. In a given situation, if the electronics are connected in parallel, there is no problem with the code connected by other electronics.",,,,
707,"Since it's connected in parallel,",,,,
708,-,,,,
709,"All the electronics used in everyday life are connected in parallel with the outlet. Therefore, the current supplied to all electronics is supplied to each of them, so even if the air conditioner grows, the other electronics do not turn off",,,,
710,"Electronics are connected in parallel so that if one device fails, all devices will not stop working. Therefore, the failure of the air conditioner does not stop the operation of other devices.",,,,
711,"This is because electronics are connected in parallel. Parallel connections are connected separately, and even if the current of one product is cut off, other products work as they are.",,,,
712,?,,,,
713,Well.,,,,
714,I don't know.,,,,
715,The AC consumes the most power,,,,
716,Only the air conditioner is overheating,,,,
717,Of course.,,,,
718,It's in parallel,,,,
719,Don't know,,,,
720,Scientists made it well,,,,
721,yes,,,,
722,The AC has more power than I need,,,,
723,??,,,,
724,This is because air conditioners have the highest energy consumption among home appliances.,,,,
725,There's a switch,,,,
726,.,,,,
727,Use a good multi-tab,,,,
728,"All outlets are connected in parallel, so they do not affect other outlets.",,,,
729,Yeah.,,,,
730,This is because the outlet is connected in series structure.,,,,
731,I don't know.,,,,
732,It's because we did it in parallel,,,,
733,Only FUSE is breaking up Everything else won't disconnect,,,,
734,in parallel,,,,
735,I don't understand.,,,,
736,Because it was connected in parallel.,,,,
737,I can't turn it off,,,,
738,Well...,,,,
739,This is because the limit voltage at which the fuse operates is different for each electronic product.,,,,
740,I don't know.,,,,
741,I think only the air conditioner turned off because I used more than the amount of electricity,,,,
742,M and D,,,,
743,"Yes, yes, yes",,,,
744,Mall,,,,
745,I don't understand.,,,,
746,I don't understand.,,,,
747,I don't know.,,,,
748,I don't know,,,,
749,M and D,,,,
750,I don't understand.,,,,
751,I don't understand.,,,,
752,I don't understand.,,,,
753,I don't understand.,,,,
754,M and D,,,,
755,I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.I don't know. I don't know.,,,,
756,I don't know,,,,
757,I don't understand.,,,,
758,M and D,,,,
759,M and D,,,,
760,I don't know,,,,
761,I didn't pay the electricity bill,,,,
762,.,,,,
763,I don't understand.,,,,
764,reserve power,,,,
765,M and D,,,,
766,I don't know.,,,,
767,.,,,,
768,"The outlet is the role of supplying power and the overuse of power is the air conditioner, so the air conditioner is burdensome and the rest is fine. The rest is fine",,,,
769,The refrigerator absorbs the most electricity,,,,
770,This is because objects that are heavily electrically used are dynamically interrupted by current supply,,,,
771,This is because objects that use electricity heavily automatically interrupt the supply of electricity,,,,
772,This is because objects with heavy current use automatically lose their current supply.,,,,
773,This is because objects that use current heavily automatically stop supplying current.,,,,
774,"""The air conditioner is too weak to receive electricity",,,,
775,"Like other electronics, if you build up strength, the air conditioner will not turn off.""",,,,
776,I think it is similar to the reason why even my friends who run with me don't stop because they are tired while running,,,,
777,"""The air conditioner is too weak to receive electricity",,,,
778,"Like other electronics, if you build up strength, the air conditioner will not turn off.""",,,,
779,This is because objects that use current heavily automatically stop supplying current.,,,,
780,This is because the current supply is automatically cut off for objects that are heavily used.,,,,
781,"It is not all connected to one side like a serial connection, but it is divided and connected, so even if one side is turned off, there is no problem with the other.",,,,
782,"When a current above the limit flows, it cuts itself off, using a fuse, a safety device that cuts off the circuit, and a component of the circuit, to stop using over-used objects and electricity supply.",,,,
783,It's better to check that the wires connected to the power outlet are turned off,,,,
784,It is to use a fuse to prevent the use of electricity by an object that has an excessive supply of electricity,,,,
785,Use a fuse to stop the supply of electricity to an object that has an excessive supply of electricity.,,,,
786,The air conditioner itself is overloaded,,,,
787,Use a fuse to cut off an oversupply of electricity,,,,
788,Parallel connection,,,,
789,The electricity turns off automatically when you use a lot of electricity,,,,
790,Because it's connected in parallel,,,,
791,I don't know.,,,,
792,"""When replacing an outlet, insert a screw that secures the outlet to the wall, and if you insert a longer screw than necessary, you will be able to cover the electrical wire",,,,
793,,,,,
794,"You take it off, and you put an electric wire on the ground pole, and you put it on the ground pole like an air conditioner, and you put it on the ground",,,,
795,,,,,
796,"If you insert it, it will cause a short circuit and the breaker will go down",,,,
797,"Therefore, I think it's screwing into a long, replace the outlet after can be separated from the wall outlet because he touched the wire.",,,,
798,,,,,
799,Air conditioning in an outlet to breaker is used to check down.,,,,
800,,,,,
801,"And the skinned with downed power lines, connected to the outlet, check better. """,,,,
802,Parallel connection,,,,
803,Parallel connection,,,,
804,Parallel connection,,,,
805,Parallel distribution is connected to the current flow.,,,,
806,Because it was parallel connection,,,,
807,Because it is a parallel connection.,,,,
808,Don't you go off because the other one off cell.,,,,
809,"The power and (parallel) Conciliation. In other words, air conditioning can the rest of the original I haven't.",,,,
810,Parallel connection be used.,,,,
811,"Parallel connection, and blown fuse is in place in the air conditioning is switched off but one lamp for the rest.",,,,
812,"Electricity, for Connecting Method is different",,,,
813,In parallel to.,,,,
814,"If you connect it with a parallel connection, even if one is turned off, the other is alive.",,,,
815,There's electricity,,,,
816,How do I know?,,,,
817,It's a different current,,,,
818,The air conditioner uses too much energy,,,,
819,"It is because it is connected in series, and it can be connected in parallel. In parallel connections, even if one line is broken, electric current flows to another place, so other electronics can be used as it is.",,,,
820,It's because the cord is connected in parallel,,,,
821,"This is because it is connected to the parallel connection of the battery, so even if one line is broken, current flows in the other line.",,,,
822,This is because they connected home appliances in parallel.,,,,
823,Let's save electricity,,,,
824,Because the air conditioner is connected in series and the other electronics are connected in parallel,,,,
825,electricity,,,,
826,Because the outlets are parallel rather than serial,,,,
827,"""It's because the circuit in the air conditioner is broken.",,,,
828,"""",,,,
829,"Because of the parallel connection,",,,,
830,I don't know,,,,
831,I don't know!,,,,
832,Because I used electricity only for the air conditioner,,,,
833,I don't know.,,,,
834,Because it's connected in parallel,,,,
835,It's because the electric cord is flowing in parallel,,,,
836,The electronics are directly connected,,,,
837,Because it is a parallel connection.,,,,
838,Because it is connected in parallel.,,,,
839,It's a parallel connection,,,,
840,Because it is connected in parallel.,,,,
841,It's connected in parallel,,,,
842,"This is because electricity is connected in parallel, so only the current flowing in the air conditioner is abnormal.",,,,
843,"Air conditioners and other electronics are connected in parallel, so even if one is turned off, other electronics do not turn off.",,,,
844,Parallel connection,,,,
845,in parallel,,,,
846,be connected in parallel,,,,
847,I don't have a fuse,,,,
848,Because the current of the air conditioner is connected in parallel,,,,
849,Because it's connected in parallel,,,,
850,in a better world,,,,
851,The AC has a lot of electricity,,,,
852,have a lot of electricity bills,,,,
853,It's because we didn't connect it in series but in parallel,,,,
854,Because there was still electricity flowing,,,,
855,This is because the air conditioner itself cut off electricity.,,,,
856,I don't know.,,,,
857,Because it is connected in parallel.,,,,
858,Other electronics don't have electricity,,,,
859,I don't know.,,,,
860,an excessive amount of electricity,,,,
861,It's in parallel,,,,
862,"Electronics can catch fire if they overheat, so there is a system where the machine discharges them",,,,
863,I'm going to plug in the socket,,,,
864,in parallel,,,,
865,"It's connected, so of course it's all turned on. (Electricity is connected, of course) Yeah.That's what I'",,,,
866,?,,,,
867,"Because it is turned off or turned on depending on how the electronics are connected, other properly connected electronics are not turned off and air conditioners with excessive current are turned off.",,,,
868,It's because I didn't leave out the concept.,,,,
869,I don't know,,,,
870,That's how electricity works. Ask Einstein for details. Or the original answer is number 12 saved in the computer program,,,,
871,"If it's connected, it turns on and if it's not connected, it turns off",,,,
872,Connect to other poll logs,,,,
873,This is because electronics are connected in parallel.,,,,
874,Wall heat connection,,,,
875,electrically-alternating,,,,
876,I don't know.,,,,
877,I doubt it.,,,,
878,Because it is connected in parallel.,,,,
879,This is because the code is constantly flowing.,,,,
880,Because it's connected in parallel,,,,
881,I don't know,,,,
882,"Since the electricity is connected separately,",,,,
883,It is because it is connected in parallel.,,,,
884,.,,,,
885,I don't know,,,,
886,I don't know.,,,,
887,It's annoying.,,,,
888,Because it has octopus feet,,,,
889,I don't know,,,,
890,with money on one's hands,,,,
891,Because we're connected,,,,
892,It's connected in parallel,,,,
893,"It's all connected separately, so only the air conditioner is turned off",,,,
894,It's connected in parallel,,,,
895,d,,,,
